Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
2354704070, 1003, 0, 0, 1004, 0, 9, 0, 20, 0, 0
2354705074, 1002, 0, 10, 1027, 19, 9, 37, 20, 0, 143
2354706101, 901, 0, 55, 1028, 363, 9, 108, 18, 0, 1437
2354707129, 950, 0, 81, 1042, 565, 9, 111, 19, 0, 2107
2354708171, 950, 0, 80, 1039, 575, 9, 111, 19, 0, 2109
2354709210, 950, 0, 75, 1040, 580, 9, 111, 19, 0, 2106
2354710250, 900, 0, 76, 1002, 551, 9, 110, 18, 0, 1980
2354711252, 950, 0, 75, 1041, 562, 9, 110, 19, 0, 2090
2354712293, 950, 0, 72, 1033, 564, 9, 110, 19, 0, 2090
2354713327, 950, 0, 79, 1045, 549, 9, 110, 19, 0, 2030
2354714372, 950, 0, 73, 1043, 507, 8, 98, 19, 0, 1862
2354715416, 951, 0, 75, 1047, 513, 8, 98, 19, 0, 1862
2354716463, 950, 0, 85, 1053, 504, 8, 98, 19, 0, 1862
2354717516, 951, 0, 81, 1050, 500, 8, 98, 19, 0, 1862
2354718566, 950, 0, 71, 1047, 508, 8, 98, 19, 0, 1862
2354719613, 950, 0, 69, 1049, 505, 8, 98, 19, 0, 1862
2354720662, 951, 0, 65, 1045, 502, 8, 98, 19, 0, 1862
2354721708, 950, 0, 76, 1042, 487, 8, 98, 19, 0, 1862
2354722750, 900, 0, 76, 1003, 476, 8, 98, 18, 0, 1764
2354723753, 950, 0, 87, 1057, 507, 8, 98, 19, 0, 1852
2354724810, 951, 0, 71, 1048, 504, 8, 97, 19, 0, 1831
2354725858, 951, 0, 78, 1041, 486, 8, 97, 19, 0, 1843
2354726899, 950, 0, 67, 1040, 486, 8, 97, 19, 0, 1843
2354727940, 951, 0, 74, 1039, 485, 8, 97, 19, 0, 1843
2354728979, 950, 0, 66, 1037, 489, 8, 97, 19, 0, 1835
2354730016, 951, 0, 73, 1039, 492, 8, 96, 19, 0, 1824
2354731055, 952, 0, 64, 1042, 476, 8, 96, 19, 0, 1817
2354732097, 951, 0, 68, 1040, 480, 8, 97, 19, 0, 1834
2354733137, 950, 0, 68, 1034, 477, 8, 99, 19, 0, 1857
2354734171, 950, 0, 71, 1041, 496, 8, 99, 19, 0, 1869
2354735212, 950, 0, 77, 1038, 486, 8, 98, 19, 0, 1860
2354736250, 951, 0, 73, 1039, 481, 8, 98, 19, 0, 1862
2354737289, 951, 0, 71, 1042, 486, 8, 98, 19, 0, 1847
2354738331, 950, 0, 75, 1037, 489, 8, 99, 19, 0, 1863
2354739368, 950, 0, 71, 1038, 494, 8, 99, 19, 0, 1869
2354740406, 900, 0, 81, 1001, 476, 8, 99, 18, 0, 1782
2354741407, 950, 0, 91, 1054, 501, 8, 99, 19, 0, 1872
2354742461, 950, 0, 75, 1047, 499, 8, 99, 19, 0, 1859
2354743508, 950, 0, 79, 1052, 483, 8, 101, 19, 0, 1896
2354744560, 900, 0, 81, 1009, 475, 8, 101, 18, 0, 1816
2354745569, 901, 0, 75, 1003, 468, 8, 100, 18, 0, 1788
2354746572, 900, 0, 79, 1001, 456, 8, 99, 18, 0, 1753
2354747573, 902, 0, 71, 1007, 463, 8, 97, 18, 0, 1742
2354748580, 952, 0, 69, 1054, 490, 8, 97, 19, 0, 1841
2354749634, 951, 0, 70, 1051, 484, 8, 97, 19, 0, 1831
2354750685, 950, 0, 82, 1047, 477, 8, 97, 19, 0, 1842
2354751732, 951, 0, 76, 1043, 464, 8, 96, 19, 0, 1824
2354752775, 952, 0, 75, 1048, 484, 8, 97, 19, 0, 1836
2354753823, 901, 0, 72, 1004, 466, 9, 100, 18, 0, 1776
2354754827, 951, 0, 80, 1052, 493, 9, 100, 19, 0, 1900
2354755879, 950, 0, 80, 1046, 485, 9, 100, 19, 0, 1900
2354756925, 901, 0, 75, 1002, 465, 9, 100, 18, 0, 1788
2354757927, 950, 0, 82, 1041, 480, 9, 100, 19, 0, 1890
2354758968, 950, 0, 80, 1043, 493, 9, 101, 19, 0, 1901
2354760011, 950, 0, 81, 1048, 493, 9, 100, 19, 0, 1891
2354761059, 950, 0, 76, 1048, 489, 9, 100, 19, 0, 1894
2354762107, 950, 0, 74, 1045, 477, 9, 100, 19, 0, 1884
2354763152, 951, 0, 71, 1050, 480, 9, 100, 19, 0, 1890
2354764202, 950, 0, 79, 1050, 493, 9, 100, 19, 0, 1895
2354765253, 952, 0, 79, 1048, 497, 9, 100, 19, 0, 1885
2354766301, 953, 0, 73, 1040, 480, 9, 99, 19, 0, 1864
2354767341, 950, 0, 82, 1046, 465, 9, 98, 19, 0, 1862
2354768387, 950, 0, 69, 1039, 480, 9, 98, 19, 0, 1859
2354769426, 951, 0, 72, 1040, 479, 9, 97, 19, 0, 1843
2354770466, 951, 0, 71, 1038, 472, 9, 97, 19, 0, 1821
2354771504, 951, 0, 65, 1034, 447, 9, 95, 19, 0, 1805
2354772538, 950, 0, 69, 1039, 451, 9, 95, 19, 0, 1789
2354773577, 951, 0, 70, 1041, 461, 9, 93, 19, 0, 1735
2354774618, 950, 0, 66, 1040, 458, 9, 92, 19, 0, 1745
2354775659, 951, 0, 67, 1043, 455, 9, 92, 19, 0, 1748
2354776702, 950, 0, 64, 1034, 439, 9, 92, 19, 0, 1700
2354777736, 952, 0, 65, 1045, 432, 9, 90, 19, 0, 1704
2354778781, 950, 0, 65, 1041, 445, 9, 90, 19, 0, 1710
2354779822, 951, 0, 64, 1038, 461, 9, 92, 19, 0, 1725
2354780860, 950, 0, 65, 1043, 454, 9, 92, 19, 0, 1737
2354781903, 950, 0, 64, 1040, 442, 9, 91, 19, 0, 1729
2354782943, 950, 0, 65, 1035, 430, 9, 91, 19, 0, 1715
2354783978, 950, 0, 67, 1033, 438, 9, 90, 19, 0, 1696
2354785011, 950, 0, 67, 1038, 441, 9, 88, 19, 0, 1668
2354786049, 950, 0, 73, 1045, 428, 9, 88, 19, 0, 1661
2354787094, 950, 0, 69, 1045, 435, 9, 89, 19, 0, 1666
2354788139, 950, 0, 70, 1055, 444, 9, 89, 19, 0, 1681
2354789194, 903, 0, 68, 1006, 400, 9, 88, 18, 0, 1568
2354790200, 901, 0, 68, 1005, 401, 9, 85, 18, 0, 1523
2354791205, 951, 0, 70, 1048, 426, 9, 84, 19, 0, 1588
2354792253, 952, 0, 65, 1043, 407, 9, 83, 19, 0, 1560
2354793296, 951, 0, 67, 1042, 401, 9, 83, 19, 0, 1574
2354794338, 951, 0, 80, 1048, 467, 10, 100, 19, 0, 1865
2354795386, 951, 0, 69, 1043, 492, 10, 98, 19, 0, 1844
2354796429, 951, 0, 68, 1038, 472, 10, 96, 19, 0, 1811
2354797467, 950, 0, 72, 1035, 467, 10, 95, 19, 0, 1773
2354798503, 952, 0, 69, 1040, 445, 10, 92, 19, 0, 1716
2354799543, 950, 0, 69, 1040, 435, 10, 92, 19, 0, 1725
2354800583, 950, 0, 65, 1039, 448, 10, 92, 19, 0, 1678
2354801622, 950, 0, 68, 1038, 443, 10, 88, 19, 0, 1671
2354802660, 952, 0, 82, 1050, 450, 10, 89, 19, 0, 1678
2354803711, 901, 0, 80, 1002, 418, 10, 89, 18, 0, 1594
2354804713, 950, 0, 79, 1048, 435, 10, 91, 19, 0, 1707
2354805761, 950, 0, 70, 1047, 455, 10, 91, 19, 0, 1727
2354806808, 951, 0, 73, 1049, 462, 10, 91, 19, 0, 1710
2354807857, 950, 0, 68, 1047, 458, 10, 91, 19, 0, 1729
2354808904, 950, 0, 82, 1054, 451, 10, 92, 19, 0, 1728
2354809958, 951, 0, 74, 1041, 457, 10, 93, 19, 0, 1761
2354810999, 951, 0, 79, 1045, 469, 10, 94, 19, 0, 1766
2354812044, 951, 0, 71, 1046, 472, 10, 94, 19, 0, 1761
2354813090, 950, 0, 79, 1046, 457, 10, 93, 19, 0, 1765
2354814136, 950, 0, 76, 1040, 447, 10, 92, 19, 0, 1739
2354815176, 951, 0, 72, 1040, 470, 10, 93, 19, 0, 1762
2354816216, 952, 0, 80, 1048, 477, 10, 94, 19, 0, 1771
2354817264, 951, 0, 71, 1038, 475, 10, 94, 19, 0, 1781
2354818302, 952, 0, 69, 1046, 439, 10, 94, 19, 0, 1714
2354819348, 950, 0, 63, 1042, 424, 10, 89, 19, 0, 1647
2354820390, 952, 0, 64, 1041, 418, 10, 85, 19, 0, 1599
2354821431, 951, 0, 61, 1044, 422, 10, 84, 19, 0, 1588
2354822475, 951, 0, 59, 1050, 417, 10, 83, 19, 0, 1565
2354823525, 950, 0, 72, 1039, 400, 10, 83, 19, 0, 1560
2354824564, 951, 0, 66, 1042, 395, 10, 79, 19, 0, 1482
2354825606, 951, 0, 60, 1046, 399, 10, 78, 19, 0, 1455
2354826652, 952, 0, 70, 1049, 394, 10, 80, 19, 0, 1508
2354827701, 951, 0, 75, 1044, 388, 10, 79, 19, 0, 1495
2354828745, 900, 0, 70, 1012, 373, 10, 78, 18, 0, 1385
2354829757, 901, 0, 90, 1043, 380, 10, 78, 18, 0, 1384
2354830800, 900, 0, 86, 1043, 395, 10, 77, 18, 0, 1374
2354831843, 903, 0, 69, 1008, 357, 10, 74, 18, 0, 1311
2354832851, 908, 0, 60, 1047, 358, 10, 72, 18, 0, 1268
2354833898, 900, 0, 69, 1019, 376, 11, 102, 18, 0, 1439
2354834917, 900, 0, 80, 1015, 489, 11, 102, 18, 0, 1824
2354835932, 901, 0, 86, 1009, 497, 11, 105, 18, 0, 1842
2354836941, 900, 0, 86, 1003, 506, 11, 106, 18, 0, 1890
2354837944, 901, 0, 85, 1004, 512, 11, 105, 18, 0, 1874
2354838948, 950, 0, 82, 1042, 515, 11, 106, 19, 0, 2001
2354839990, 950, 0, 80, 1040, 531, 11, 106, 19, 0, 2002
2354841030, 950, 0, 78, 1043, 528, 11, 107, 19, 0, 2020
2354842073, 900, 0, 90, 1006, 520, 11, 108, 18, 0, 1934
