Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
2354122015, 1001, 0, 4, 1022, 1, 9, 26, 20, 0, 70
2354123037, 902, 0, 45, 1044, 301, 9, 88, 18, 0, 1174
2354124082, 950, 0, 74, 1039, 494, 9, 95, 19, 0, 1799
2354125121, 900, 0, 76, 1006, 474, 9, 95, 18, 0, 1710
2354126127, 953, 0, 71, 1055, 492, 9, 95, 19, 0, 1792
2354127182, 950, 0, 76, 1050, 487, 9, 94, 19, 0, 1786
2354128232, 950, 0, 71, 1049, 490, 9, 94, 19, 0, 1782
2354129281, 902, 0, 75, 1006, 457, 9, 93, 18, 0, 1664
2354130287, 900, 0, 74, 1000, 455, 9, 92, 18, 0, 1644
2354131288, 951, 0, 70, 1048, 482, 9, 92, 19, 0, 1745
2354132336, 900, 0, 76, 1001, 454, 9, 92, 18, 0, 1656
2354133337, 950, 0, 74, 1047, 464, 9, 92, 19, 0, 1739
2354134384, 951, 0, 68, 1046, 470, 9, 92, 19, 0, 1733
2354135430, 952, 0, 75, 1053, 470, 9, 91, 19, 0, 1729
2354136483, 951, 0, 75, 1048, 478, 9, 92, 19, 0, 1738
2354137531, 950, 0, 77, 1052, 466, 9, 92, 19, 0, 1748
2354138583, 952, 0, 76, 1049, 475, 9, 92, 19, 0, 1742
2354139632, 950, 0, 73, 1047, 465, 9, 90, 19, 0, 1709
2354140679, 951, 0, 71, 1054, 460, 9, 89, 19, 0, 1675
2354141733, 950, 0, 68, 1053, 438, 9, 87, 19, 0, 1653
2354142787, 950, 0, 65, 1045, 462, 9, 89, 19, 0, 1691
2354143832, 950, 0, 78, 1054, 462, 9, 89, 19, 0, 1691
2354144886, 951, 0, 65, 1044, 459, 9, 89, 19, 0, 1691
2354145930, 951, 0, 74, 1043, 441, 9, 89, 19, 0, 1691
2354146973, 951, 0, 63, 1044, 451, 9, 89, 19, 0, 1691
2354148017, 951, 0, 71, 1045, 455, 9, 89, 19, 0, 1691
2354149062, 950, 0, 75, 1053, 460, 9, 89, 19, 0, 1677
2354150115, 952, 0, 69, 1043, 444, 9, 88, 19, 0, 1672
2354151158, 950, 0, 68, 1043, 430, 9, 88, 19, 0, 1651
2354152201, 950, 0, 64, 1043, 441, 9, 88, 19, 0, 1671
2354153244, 900, 0, 72, 1006, 419, 9, 88, 18, 0, 1575
2354154250, 950, 0, 80, 1054, 441, 9, 87, 19, 0, 1648
2354155304, 950, 0, 67, 1045, 430, 9, 87, 19, 0, 1652
2354156349, 950, 0, 74, 1049, 434, 9, 88, 19, 0, 1659
2354157398, 951, 0, 65, 1044, 429, 9, 87, 19, 0, 1637
2354158442, 950, 0, 65, 1043, 418, 9, 87, 19, 0, 1653
2354159485, 951, 0, 74, 1055, 432, 9, 87, 19, 0, 1636
2354160540, 951, 0, 75, 1048, 412, 9, 85, 19, 0, 1605
2354161588, 901, 0, 64, 1003, 393, 9, 84, 18, 0, 1512
2354162591, 950, 0, 80, 1054, 417, 9, 84, 19, 0, 1588
2354163645, 950, 0, 67, 1051, 410, 9, 84, 19, 0, 1596
2354164696, 951, 0, 68, 1048, 409, 9, 84, 19, 0, 1583
2354165744, 950, 0, 67, 1047, 400, 9, 83, 19, 0, 1577
2354166791, 901, 0, 70, 1001, 388, 9, 83, 18, 0, 1476
2354167792, 950, 0, 68, 1047, 396, 9, 81, 19, 0, 1529
2354168839, 901, 0, 75, 1009, 375, 9, 81, 18, 0, 1447
2354169849, 951, 0, 60, 1045, 388, 9, 80, 19, 0, 1503
2354170894, 951, 0, 58, 1043, 402, 9, 79, 19, 0, 1501
2354171937, 901, 0, 66, 1001, 370, 9, 79, 18, 0, 1422
2354172938, 951, 0, 59, 1045, 388, 9, 80, 19, 0, 1511
2354173983, 951, 0, 63, 1045, 391, 9, 81, 19, 0, 1529
2354175028, 951, 0, 65, 1039, 397, 9, 81, 19, 0, 1535
2354176067, 950, 0, 73, 1051, 401, 9, 81, 19, 0, 1539
2354177119, 952, 0, 65, 1049, 384, 9, 81, 19, 0, 1539
2354178168, 951, 0, 70, 1053, 388, 9, 81, 19, 0, 1508
2354179221, 951, 0, 63, 1050, 379, 9, 79, 19, 0, 1501
2354180271, 951, 0, 60, 1048, 381, 9, 79, 19, 0, 1501
2354181319, 951, 0, 58, 1039, 375, 9, 79, 19, 0, 1501
2354182358, 951, 0, 64, 1037, 382, 9, 79, 19, 0, 1500
2354183395, 950, 0, 68, 1045, 375, 9, 78, 19, 0, 1464
2354184440, 950, 0, 56, 1038, 364, 9, 77, 19, 0, 1463
2354185478, 951, 0, 59, 1042, 378, 9, 78, 19, 0, 1464
2354186520, 950, 0, 57, 1040, 354, 9, 77, 19, 0, 1447
2354187560, 950, 0, 60, 1043, 362, 9, 76, 19, 0, 1426
2354188603, 951, 0, 57, 1040, 360, 9, 75, 19, 0, 1425
2354189643, 950, 0, 60, 1044, 363, 9, 75, 19, 0, 1425
2354190687, 900, 0, 61, 1003, 352, 9, 76, 18, 0, 1368
2354191690, 952, 0, 59, 1048, 367, 9, 76, 19, 0, 1444
2354192738, 950, 0, 59, 1042, 360, 9, 77, 19, 0, 1451
2354193780, 950, 0, 64, 1046, 374, 9, 77, 19, 0, 1463
2354194826, 950, 0, 66, 1048, 364, 9, 77, 19, 0, 1447
2354195874, 951, 0, 56, 1044, 359, 9, 75, 19, 0, 1413
2354196918, 950, 0, 64, 1050, 341, 9, 74, 19, 0, 1397
2354197968, 901, 0, 67, 1006, 348, 9, 74, 18, 0, 1332
2354198974, 900, 0, 63, 1001, 348, 9, 74, 18, 0, 1330
2354199975, 951, 0, 62, 1047, 355, 9, 73, 19, 0, 1373
2354201022, 903, 0, 63, 1008, 326, 9, 73, 18, 0, 1301
2354202031, 901, 0, 63, 1009, 332, 9, 74, 18, 0, 1295
2354203040, 950, 0, 53, 1051, 337, 9, 71, 19, 0, 1334
2354204091, 951, 0, 58, 1046, 343, 9, 70, 19, 0, 1326
2354205137, 950, 0, 55, 1044, 321, 9, 70, 19, 0, 1323
2354206181, 951, 0, 65, 1042, 338, 9, 70, 19, 0, 1319
2354207223, 950, 0, 53, 1045, 319, 9, 70, 19, 0, 1317
2354208268, 951, 0, 53, 1043, 334, 9, 70, 19, 0, 1317
2354209311, 950, 0, 57, 1043, 329, 9, 70, 19, 0, 1330
2354210354, 950, 0, 53, 1043, 327, 9, 70, 19, 0, 1310
2354211397, 951, 0, 52, 1044, 327, 9, 68, 19, 0, 1283
2354212441, 952, 0, 61, 1046, 309, 9, 67, 19, 0, 1268
2354213487, 950, 0, 64, 1052, 326, 9, 66, 19, 0, 1254
2354214539, 951, 0, 59, 1056, 306, 9, 67, 19, 0, 1259
2354215595, 950, 0, 63, 1053, 319, 9, 67, 19, 0, 1273
