Total,Process,Execute,WaitList,Reply
368,0,0,318,22
368,0,0,318,6
371,6,0,318,5
370,0,0,318,4
372,0,0,318,3
372,0,0,318,3
374,1,0,318,2
375,0,0,318,2
380,0,0,318,2
381,5,318,0,5
8,0,0,0,3
15,0,0,2,2
11,1,0,0,4
15,0,0,2,3
15,0,0,2,2
18,0,0,2,3
17,0,0,2,3
19,0,0,2,2
20,0,0,2,3
22,0,6,0,3
8,0,0,0,3
10,0,7,0,2
12,0,0,6,2
13,0,0,6,2
13,0,0,6,2
14,0,0,6,1
14,0,0,6,2
15,0,0,6,2
15,0,0,6,2
16,0,6,0,1
17,0,0,6,2
16,1,6,0,0
4,0,0,0,0
4,0,0,0,1
4,0,0,0,0
4,1,0,0,1
3,0,0,0,0
26,0,0,8,3
28,0,0,8,2
27,0,0,8,3
30,0,0,8,2
30,0,0,8,3
31,2,0,8,3
34,0,0,8,3
34,0,0,8,3
35,0,0,8,2
38,1,10,0,3
24,0,0,6,1
17,0,0,2,2
19,0,0,2,3
19,0,0,2,3
28,0,0,6,3
31,0,0,6,3
23,0,0,2,2
31,0,0,6,2
35,1,0,6,2
36,0,10,0,1
12,0,0,6,1
13,1,0,6,1
13,0,0,6,1
13,0,0,5,1
15,0,0,6,1
13,0,0,5,1
14,0,0,5,2
15,0,0,6,1
17,0,0,6,1
17,0,7,0,2
4,0,0,0,1
3,0,0,0,1
4,0,0,0,1
3,0,0,0,1
4,1,0,0,1
4,0,0,0,1
4,0,1,0,1
5,0,0,0,1
5,0,0,0,1
6,1,0,0,1
5,0,0,0,1
6,0,0,0,1
7,0,0,0,1
5,0,0,0,1
5,0,0,0,2
6,0,0,0,1
5,0,0,0,0
4,0,0,0,1
4,0,0,0,0
5,0,0,0,1
5,0,0,0,1
10,7,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
2,0,0,0,0
2,0,0,0,0
3,0,0,0,0
3,0,0,0,1
3,0,1,0,1
3,0,0,0,0
3,1,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
3,0,0,0,1
3,1,0,0,1
3,0,0,0,0
4,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,1,0,0,1
1,0,0,0,0
2,0,0,0,0
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
3,0,0,0,0
3,0,0,0,0
2,0,0,0,1
3,0,0,0,0
2,0,0,0,0
3,0,0,0,1
3,0,0,0,0
5,0,1,0,0
5,1,0,0,1
5,0,0,0,2
5,0,0,0,2
5,0,0,0,1
5,1,0,0,1
4,0,0,0,1
6,0,0,0,1
7,0,0,0,1
5,0,0,0,2
8,0,0,0,1
2,0,0,0,1
3,0,0,0,1
5,0,0,0,1
5,0,0,0,2
5,0,0,0,1
6,0,0,0,1
6,0,0,0,1
6,0,0,0,1
7,1,0,0,1
7,0,0,0,1
6,0,0,0,1
6,0,0,0,1
11,0,0,6,1
11,0,0,6,0
12,0,0,7,1
12,0,0,7,1
13,0,0,7,1
12,0,0,6,1
13,0,0,7,0
14,0,0,7,1
15,1,0,6,1
15,0,0,7,1
38,6,8,0,1
16,0,0,0,9
16,0,0,0,9
17,3,0,0,1
17,5,0,0,1
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
13,0,0,0,2
13,0,0,0,1
14,0,0,0,1
3,0,0,0,1
3,0,0,0,2
3,0,0,0,1
5,0,0,0,1
5,0,0,0,1
5,0,0,0,1
6,0,0,0,2
5,0,0,0,1
6,0,0,0,1
6,0,0,0,1
6,0,0,0,1
5,0,0,0,1
6,0,0,0,2
6,0,0,0,1
8,3,0,0,1
2,0,0,0,0
2,0,0,0,1
3,0,0,0,2
3,0,0,0,1
4,0,0,0,1
4,0,0,0,1
5,0,0,0,1
5,0,0,0,1
6,0,0,0,1
5,0,0,0,1
7,0,0,0,1
5,0,0,0,2
5,0,0,0,1
4,0,0,0,1
5,0,0,0,0
4,0,0,0,1
4,0,0,0,1
2,0,0,0,1
2,0,0,0,1
4,1,0,0,0
4,1,0,0,0
4,0,0,0,1
4,0,0,0,1
5,0,0,0,1
5,0,0,0,1
5,0,0,0,1
6,0,0,0,1
4,0,0,0,0
6,0,0,0,1
4,0,0,0,1
2,0,0,0,0
3,0,0,0,0
3,0,0,0,1
2,0,0,0,0
2,0,0,0,1
2,0,0,0,0
2,1,0,0,1
3,0,0,0,1
3,0,0,0,0
3,0,0,0,1
3,0,0,0,1
4,0,0,0,0
4,0,0,0,1
4,0,0,0,1
1,0,0,0,0
1,0,0,0,1
2,0,0,0,0
2,0,0,0,1
5,0,0,2,1
11,0,0,7,0
11,1,0,7,0
12,0,0,7,1
12,0,0,7,0
12,0,0,7,0
12,0,0,7,0
7,0,0,2,1
7,0,0,2,0
7,0,0,2,1
13,0,7,0,0
3,0,0,0,2
3,0,0,0,2
5,0,0,0,1
5,0,0,0,1
6,0,0,0,2
6,0,0,0,1
7,0,0,0,1
7,0,0,0,2
8,0,0,0,2
8,1,0,0,1
11,0,0,0,1
3,1,0,0,1
9,0,0,0,1
9,0,0,0,2
3,0,0,0,1
5,0,0,0,1
5,0,0,0,0
5,0,0,0,1
5,0,0,0,1
6,0,0,0,1
4,0,0,0,0
6,0,0,0,1
5,0,0,0,1
3,0,0,0,1
3,0,0,0,1
3,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,0
3,0,0,0,1
3,0,0,0,1
3,0,0,0,1
4,0,0,0,1
4,0,0,0,0
5,0,0,0,1
5,0,0,0,0
5,0,0,0,1
4,0,0,0,1
3,0,0,0,0
3,0,0,0,1
2,0,0,0,1
2,0,0,0,0
3,0,0,0,0
3,0,0,0,1
3,0,0,0,1
4,0,0,0,1
4,0,0,0,2
4,0,0,0,2
5,0,0,0,1
5,0,0,0,1
6,0,0,0,1
6,0,0,0,1
6,0,0,0,1
6,0,0,0,1
6,0,0,0,1
3,0,0,0,1
3,1,0,0,1
4,0,0,0,0
4,0,0,0,1
4,0,0,0,2
4,0,0,0,0
5,0,0,0,1
5,0,0,0,1
7,0,0,0,2
7,0,0,0,1
7,1,0,0,2
2,0,0,0,1
3,0,0,0,2
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
5,0,0,0,1
5,0,0,0,1
5,0,0,0,1
4,0,0,0,1
4,0,0,0,1
5,0,0,0,1
5,0,0,0,1
5,0,0,0,0
4,0,0,0,1
9,0,0,6,0
8,0,0,4,0
9,0,0,4,1
11,0,0,6,1
11,0,0,6,1
11,0,0,6,0
12,2,0,4,1
13,0,0,6,1
13,0,0,6,1
13,0,0,6,1
22,6,7,0,1
3,0,0,0,0
2,0,0,0,0
3,1,0,0,0
2,0,0,0,1
3,0,0,0,1
1,0,0,0,1
3,0,0,0,0
3,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,1,0,1
2,0,0,0,0
1,0,1,0,0
2,0,0,0,0
2,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
3,0,0,0,0
2,0,0,0,1
3,0,0,0,1
3,0,0,0,0
2,0,0,0,1
3,0,0,0,0
3,0,0,0,0
2,0,1,0,1
3,0,0,0,1
3,0,0,0,0
3,0,0,0,1
3,0,0,0,0
3,0,0,0,0
4,0,0,0,1
3,0,0,0,0
3,0,0,0,1
3,0,0,0,1
3,0,0,0,0
3,1,0,0,0
2,0,0,0,1
3,0,0,0,1
3,0,0,0,0
2,0,0,0,1
2,0,0,0,1
12,0,0,4,2
13,0,0,4,1
13,0,0,4,1
15,1,0,4,1
13,0,0,3,1
15,0,0,4,2
13,0,0,2,1
18,0,0,5,1
16,0,0,4,2
17,0,0,4,2
23,0,10,0,1
5,0,0,0,1
6,0,0,0,1
5,0,0,0,1
6,0,0,0,1
5,0,0,0,1
6,0,0,0,1
6,0,0,0,1
5,0,0,0,1
5,0,0,0,1
5,0,0,0,1
6,0,0,0,1
6,0,0,0,1
6,0,0,0,0
6,0,0,0,1
7,0,0,0,1
5,1,0,0,1
5,0,0,0,2
5,0,0,0,1
6,0,0,0,1
8,0,0,0,2
7,0,0,0,2
4,0,0,0,1
4,0,0,0,2
5,0,0,0,2
5,0,0,0,2
7,0,0,0,1
7,0,0,0,1
8,0,0,0,2
8,0,0,0,2
7,0,0,0,1
8,0,0,0,2
8,0,0,0,2
13,0,0,0,1
12,0,0,0,1
12,0,0,0,6
11,0,0,0,5
11,0,0,0,1
10,0,0,0,1
11,0,0,0,1
9,0,0,0,1
9,0,0,0,1
3,1,0,0,1
3,1,0,0,1
4,0,0,0,1
4,0,0,0,1
5,0,0,0,1
6,0,0,0,1
7,0,0,0,1
7,0,0,0,1
7,0,0,0,1
8,0,0,0,1
6,0,0,0,1
7,0,0,0,1
7,0,0,0,2
7,0,0,0,1
6,0,0,0,1
6,0,0,0,1
6,0,0,0,1
6,0,0,0,1
5,0,0,0,2
4,0,0,0,2
5,0,0,0,0
3,0,0,0,1
3,0,0,0,1
4,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
3,0,0,0,0
2,0,0,0,0
3,0,0,0,1
3,0,0,0,1
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
4,0,0,0,1
5,0,0,0,1
4,0,0,0,1
5,0,0,0,1
4,0,0,0,1
4,0,0,0,1
1,0,0,0,0
1,0,0,0,1
2,0,0,0,0
2,1,0,0,0
1,0,0,0,1
2,0,0,0,0
1,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,0
1,0,0,0,0
1,0,0,0,0
2,1,0,0,0
2,0,0,0,1
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
1,0,0,0,0
2,0,0,0,0
2,0,0,0,0
1,0,0,0,1
2,0,0,0,1
1,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
1,0,0,0,0
0,0,0,0,0
2,0,0,0,0
1,0,0,0,1
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,0
1,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,0
3,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,0
3,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
2,0,0,0,1
1,0,0,0,0
2,0,0,0,0
2,0,0,0,1
2,0,0,0,1
3,0,0,0,0
3,0,0,0,0
2,0,0,0,1
2,0,0,0,1
2,0,0,0,0
2,0,0,0,0
2,0,0,0,1
3,0,0,0,1
2,0,0,0,0
2,0,0,0,1
3,0,0,0,1
