new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
174,165,0,0,0,0,5,8,95,62,0,8
1645,1641,2,3,2,3,5,16,1656,143,0,0
2158,2170,0,0,0,0,5,16,3817,143,0,0
2668,2646,5,5,4,6,5,16,6476,143,0,0
2415,2436,0,0,0,0,5,16,8902,143,0,0
2054,2052,0,0,0,0,5,16,10956,143,0,0
1986,1980,2,0,1,2,5,16,12938,143,0,0
2507,2508,1,1,1,1,5,16,15446,143,0,0
2508,2514,0,0,0,0,5,16,17957,143,0,0
2442,2445,0,0,0,0,5,16,20400,143,0,0
2199,2197,0,0,0,0,5,16,22597,143,0,0
1969,1953,4,3,3,3,5,16,24561,143,0,0
2206,2223,0,0,0,0,5,16,26774,143,0,0
2087,2092,0,0,0,0,5,16,28870,143,0,0
2028,2023,0,0,0,1,5,16,30898,143,0,0
2631,2631,0,0,0,1,5,16,33525,143,0,0
2542,2542,0,0,0,1,5,16,36071,143,0,0
2246,2239,2,2,2,2,5,16,38314,143,0,0
2433,2445,0,0,0,0,5,16,40752,143,0,0
1995,1986,2,2,2,1,5,16,42743,143,0,0
2650,2659,0,0,0,0,5,16,45398,143,0,0
2414,2399,2,3,3,3,5,16,47807,143,0,0
2165,2181,0,0,0,0,5,16,49977,143,0,0
2009,2005,0,0,0,0,5,16,51982,143,0,0
2143,2143,0,0,0,0,5,16,54125,143,0,0
2166,2168,0,0,0,0,5,16,56293,143,0,0
2252,2251,0,0,0,0,5,16,58544,143,0,0
2199,2201,0,0,0,0,5,16,60745,143,0,0
2285,2285,0,0,0,0,5,16,63030,143,0,0
2287,2286,0,0,0,0,5,16,65316,143,0,0
2152,2153,0,0,0,0,5,16,67469,143,0,0
2264,2263,0,0,0,0,5,16,69734,143,0,0
2157,2156,0,0,0,0,5,16,71888,143,0,0
2358,2355,1,0,0,1,5,16,74248,143,0,0
2409,2412,0,0,0,0,5,16,76658,143,0,0
2650,2649,0,0,0,0,5,16,79308,143,0,0
2549,2551,0,0,0,0,5,16,81857,143,0,0
2696,2696,0,0,0,0,5,16,84552,143,0,0
2161,2161,0,0,0,0,5,16,86713,143,0,0
2684,2683,0,0,0,0,5,16,89395,143,0,0
2600,2596,0,0,1,1,5,16,91998,143,0,0
2877,2883,0,0,0,0,5,16,94875,143,0,0
1880,1878,0,0,0,0,5,16,96752,143,0,0
2782,2783,0,0,0,0,5,16,99535,143,0,0
2684,2685,0,0,0,0,5,16,102221,143,0,0
2921,2919,0,0,0,0,5,16,105142,143,0,0
2340,2342,0,0,0,0,5,16,107481,143,0,0
2312,2304,1,1,2,1,5,16,109793,143,0,0
2156,2163,0,0,0,0,5,16,111950,143,0,0
2214,2215,0,0,0,0,5,16,114163,143,0,0
2212,2213,0,0,0,0,5,16,116377,143,0,0
2186,2183,0,0,0,0,5,16,118563,143,0,0
2282,2281,0,0,0,0,5,16,120842,143,0,0
2160,2163,0,0,0,0,5,16,123004,143,0,0
2117,2112,1,0,0,0,5,16,125121,143,0,0
2114,2115,0,0,0,1,5,16,127237,143,0,0
2042,2047,0,0,0,0,5,16,129279,143,0,0
2095,2093,1,0,0,0,5,16,131374,143,0,0
2246,2240,1,0,1,1,5,16,133624,143,0,0
2151,2156,0,0,0,0,5,16,135780,143,0,0
2160,2159,0,0,0,0,5,16,137937,143,0,0
2055,2056,0,0,0,0,5,16,139993,143,0,0
2154,2155,0,0,0,0,5,16,142148,143,0,0
2205,2203,1,0,0,0,5,16,144353,143,0,0
2355,2358,0,0,0,0,5,16,146709,143,0,0
2296,2296,0,0,0,0,5,16,149008,143,0,0
2225,2225,0,0,0,0,5,16,151233,143,0,0
2059,2060,0,0,0,0,5,16,153290,143,0,0
2098,2097,0,0,0,0,5,16,155390,143,0,0
2083,2080,0,0,0,1,5,16,157468,143,0,0
2299,2302,0,0,0,0,5,16,159772,143,0,0
2133,2133,0,0,0,0,5,16,161905,143,0,0
2163,2164,0,0,0,0,5,16,164068,143,0,0
2127,2126,0,0,1,0,5,16,166195,143,0,0
2085,2079,3,0,0,1,5,16,168277,143,0,0
2256,2265,0,0,0,0,5,16,170536,143,0,0
1917,1917,0,0,0,0,5,17,172450,145,0,0
0,0,0,0,0,0,5,17,172450,145,0,0
