Total,Process,Execute,WaitList,Reply
374,1,350,0,23
7,0,0,0,7
4,0,0,0,4
5,0,0,0,5
4,0,0,0,4
2,0,0,0,2
3,0,1,0,2
4,1,0,0,3
2,0,0,0,2
2,0,0,0,2
11,0,8,0,3
3,0,0,0,3
9,0,7,0,2
56,0,54,0,1
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
9,0,8,0,1
2,0,0,0,2
7,0,5,0,2
2,0,0,0,2
2,0,0,0,2
3,1,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,1,0,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
2,1,0,0,1
14,0,12,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
3,0,0,0,3
2,0,0,0,2
9,1,6,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
6,0,5,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
9,0,8,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
2,0,0,0,2
2,0,0,0,2
2,0,1,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,1,0,0,1
1,0,0,0,1
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
2,0,1,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,1,0,0,1
2,0,1,0,1
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,1,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
5,0,5,0,0
1,1,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
10,0,0,0,10
2,0,0,0,2
10,0,9,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,1,0,0
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
4,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,1,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,1,0,0,0
1,1,0,0,0
1,0,0,0,1
8,0,7,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
5,0,4,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,1,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
2,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,1,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
5,0,0,0,5
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
2,0,0,0,2
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,1,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
0,0,0,0,0
1,1,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
5,4,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
9,0,8,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1,0,0,0,1
0,0,0,0,0
1,0,0,0,1
1,0,0,0,1
1,1,0,0,0
1,0,0,0,1
