new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
0,0,0,0,0,0,10,0,0,0,0,0
349,348,0,0,0,0,10,14,335,0,3,0
1062,1062,0,0,0,0,10,24,1386,0,13,0
939,940,0,0,0,0,10,54,2296,0,43,0
1141,1141,0,0,0,0,10,73,3419,0,62,0
1028,1028,0,0,0,0,10,109,4411,0,98,0
1123,1123,0,0,0,0,10,126,5517,0,115,0
1126,1126,0,0,0,0,10,144,6625,0,133,0
1262,1262,0,0,0,0,10,161,7869,0,150,0
1017,1017,0,0,0,0,10,189,8859,0,178,0
1127,1127,0,0,0,0,10,212,9963,0,201,0
1124,1124,0,0,0,0,10,236,11063,0,225,0
1125,1124,0,0,0,0,10,261,12163,0,250,0
1159,1160,0,0,0,0,10,283,13300,0,272,0
1274,1273,0,0,0,0,10,298,14559,0,287,0
1098,1099,0,0,0,0,10,317,15638,0,306,0
975,975,0,0,0,0,10,335,16596,0,324,0
1081,1081,0,0,0,0,10,362,17650,0,351,0
1008,1008,0,0,0,0,10,392,18628,0,381,0
1148,1148,0,0,0,0,10,411,19757,0,400,0
1180,1181,0,0,0,0,10,430,20918,0,419,0
1219,1218,0,0,0,0,10,443,22124,0,432,0
979,979,0,0,0,0,10,472,23074,0,461,0
1078,1078,0,0,0,0,10,493,24130,0,482,0
1083,1083,0,0,0,0,10,522,25185,0,511,0
1185,1185,0,0,0,0,10,539,26353,0,528,0
1173,1174,0,0,0,0,10,561,27504,0,550,0
1226,1226,0,0,0,0,10,574,28717,0,563,0
1069,1068,0,0,0,0,10,602,29757,0,591,0
1254,1254,0,0,0,0,10,619,30995,0,608,0
970,970,0,0,0,0,10,646,31938,0,635,0
1376,1376,0,0,0,0,10,662,33298,0,651,0
1303,1303,0,0,0,0,10,687,34576,0,676,0
772,772,0,0,0,0,10,698,35337,0,687,0
1057,1057,0,0,0,0,10,721,36371,0,710,0
1252,1252,0,0,0,0,10,743,37601,0,732,0
1121,1121,0,0,0,0,10,772,38693,0,761,0
1177,1177,0,0,0,0,10,800,39842,0,789,0
1161,1161,0,0,0,0,10,823,40980,0,812,0
1313,1313,0,0,0,0,10,841,42275,0,830,0
1031,1031,0,0,0,0,10,862,43285,0,851,0
1071,1071,0,0,0,0,10,887,44331,0,876,0
1049,1049,0,0,0,0,10,912,45355,0,901,0
1081,1081,0,0,0,0,10,934,46415,0,923,0
1188,1188,0,0,0,0,10,955,47581,0,944,0
1148,1148,0,0,0,0,10,971,48714,0,960,0
1075,1075,0,0,0,0,10,992,49768,0,981,0
1085,1085,0,0,0,0,10,1015,50830,0,1004,0
1061,1061,0,0,0,0,10,1041,51865,0,1030,0
1146,1146,0,0,0,0,10,1064,52988,0,1053,0
1269,1270,0,0,0,0,10,1080,54241,0,1069,0
1144,1145,0,0,0,0,10,1102,55364,0,1091,0
1185,1185,0,0,0,0,10,1120,56532,0,1109,0
1141,1141,0,0,0,0,10,1146,57647,0,1135,0
1175,1175,0,0,0,0,10,1166,58802,0,1155,0
1082,1082,0,0,0,0,10,1194,59856,0,1183,0
1162,1163,0,0,0,0,10,1213,60999,0,1202,0
1129,1128,0,0,0,0,10,1236,62105,0,1225,0
1229,1229,0,0,0,0,10,1248,63322,0,1237,0
1036,1036,0,0,0,0,10,1281,64325,0,1270,0
1174,1174,0,0,0,0,10,1296,65483,0,1285,0
901,901,0,0,0,0,10,1319,66361,0,1308,0
176,177,0,0,0,0,10,1324,66533,0,1313,0
0,0,0,0,0,0,10,1324,66533,0,1313,0
0,0,0,0,0,0,10,1324,66533,0,1313,0
