Total,Process,Execute,WaitList,Reply
391,0,376,0,15
12,1,5,0,5
8,0,5,0,3
9,1,5,0,3
9,0,6,0,3
9,0,6,0,3
8,0,5,0,3
7,0,5,0,1
6,0,5,0,1
7,0,5,0,2
10,0,8,0,2
9,0,6,0,3
12,0,9,0,3
12,0,9,0,3
7,0,5,0,2
6,0,5,0,1
8,0,6,0,2
7,0,5,0,2
10,0,8,0,2
8,0,6,0,2
10,0,8,0,2
8,0,7,0,1
6,1,4,0,1
8,0,6,0,2
8,0,6,0,2
8,0,6,0,2
11,0,9,0,2
10,0,8,0,2
6,0,5,0,1
7,0,5,0,2
7,0,6,0,1
6,0,5,0,1
6,0,5,0,1
5,0,4,0,1
5,0,5,0,0
8,0,6,0,2
6,0,5,0,1
5,0,4,0,1
7,0,6,0,1
5,0,4,0,1
5,0,4,0,1
6,1,4,0,0
5,0,4,0,1
5,0,4,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
5,0,4,0,1
8,0,6,0,2
7,0,6,0,1
9,0,7,0,2
7,0,6,0,1
8,1,5,0,2
4,0,4,0,0
4,0,3,0,1
6,0,5,0,1
5,0,4,0,1
5,0,4,0,1
5,0,4,0,1
5,0,4,0,1
5,0,4,0,1
6,0,5,0,1
6,0,5,0,1
5,0,4,0,1
7,0,5,0,1
7,0,6,0,1
5,0,4,0,1
5,0,4,0,1
5,0,4,0,1
5,0,4,0,1
5,0,4,0,1
7,0,6,0,1
6,0,5,0,1
5,0,5,0,0
5,0,4,0,1
5,0,5,0,0
5,0,4,0,1
6,0,5,0,1
7,0,6,0,1
7,0,6,0,1
7,0,6,0,1
7,0,5,0,2
5,0,4,0,1
5,0,5,0,0
6,0,5,0,1
6,0,5,0,1
7,0,6,0,1
6,0,5,0,1
6,0,5,0,1
7,0,6,0,1
8,1,6,0,1
7,0,6,0,1
6,0,5,0,1
6,0,5,0,1
12,0,5,0,7
6,0,5,0,1
6,0,5,0,1
5,0,4,0,1
6,0,5,0,1
6,0,5,0,1
8,0,6,0,1
7,0,5,0,2
5,0,4,0,1
5,0,5,0,0
5,0,4,0,1
5,0,5,0,0
6,0,5,0,1
7,0,6,0,1
7,0,6,0,1
6,0,6,0,0
5,0,4,0,1
6,1,4,0,1
8,1,5,0,2
6,0,6,0,0
5,0,4,0,1
5,0,4,0,1
7,0,6,0,1
7,1,5,0,1
7,0,6,0,1
7,0,6,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
5,0,5,0,0
6,0,5,0,1
6,0,5,0,1
5,0,4,0,1
5,0,4,0,1
7,0,6,0,1
7,1,5,0,1
7,0,5,0,2
6,0,4,0,1
5,0,4,0,1
5,0,5,0,0
6,1,4,0,1
6,0,5,0,1
7,0,6,0,0
6,0,5,0,1
7,0,6,0,1
5,0,4,0,1
4,0,4,0,0
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
5,0,5,0,0
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
7,1,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
8,0,7,0,1
7,0,5,0,2
6,0,5,0,1
6,1,5,0,0
6,1,4,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,0
4,0,4,0,0
4,0,4,0,0
6,0,5,0,1
8,1,5,0,2
6,0,5,0,0
6,0,5,0,0
5,0,5,0,0
6,0,5,0,1
7,0,6,0,1
5,0,4,0,1
8,0,7,0,1
8,0,7,0,0
6,0,5,0,1
7,0,6,0,1
11,0,10,0,1
7,0,7,0,0
5,0,4,0,1
5,0,5,0,0
6,0,5,0,1
5,0,4,0,1
5,0,4,0,1
4,0,4,0,0
7,0,6,0,1
7,0,6,0,1
7,0,6,0,1
6,0,5,0,1
6,0,5,0,1
7,0,6,0,1
7,0,6,0,1
5,0,4,0,1
5,0,5,0,0
6,0,5,0,1
53,0,52,0,1
6,0,5,0,1
13,0,12,0,0
7,0,6,0,1
5,0,4,0,1
5,0,4,0,1
6,0,5,0,1
6,0,5,0,1
5,0,4,0,1
5,0,4,0,1
7,0,6,0,1
6,0,5,0,1
6,0,6,0,0
6,0,5,0,1
5,0,4,0,1
6,0,5,0,1
5,0,4,0,1
6,0,5,0,1
6,0,5,0,0
4,0,4,0,0
4,0,3,0,1
7,0,5,0,1
7,0,6,0,1
7,0,6,0,1
4,0,4,0,0
5,0,4,0,1
7,0,6,0,1
7,0,6,0,1
7,0,6,0,1
7,0,6,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
5,0,5,0,0
5,0,4,0,1
5,0,4,0,1
4,0,4,0,0
4,0,4,0,0
4,0,3,0,1
4,0,4,0,0
5,0,4,0,1
5,0,4,0,1
5,0,4,0,1
5,0,4,0,1
5,0,4,0,1
7,0,6,0,1
6,0,5,0,1
7,1,5,0,1
7,0,6,0,1
7,0,5,0,2
7,0,6,0,1
7,0,5,0,2
6,0,5,0,1
6,0,5,0,1
9,0,5,0,2
7,0,5,0,1
5,0,4,0,1
5,0,4,0,1
4,0,4,0,0
4,0,4,0,0
4,0,3,0,1
4,0,3,0,1
5,0,5,0,0
5,0,4,0,1
5,0,5,0,0
5,0,4,0,1
5,0,4,0,1
4,0,4,0,0
5,0,4,0,1
4,0,4,0,0
4,0,4,0,0
5,1,3,0,1
6,0,5,0,1
5,0,5,0,0
6,1,4,0,1
7,0,6,0,1
6,0,5,0,1
6,0,5,0,1
5,0,4,0,1
5,0,4,0,1
4,0,4,0,0
5,0,4,0,1
5,0,4,0,1
6,0,6,0,0
6,0,5,0,1
5,0,5,0,0
10,1,5,0,4
5,0,4,0,1
6,0,5,0,1
6,0,5,0,1
6,0,5,0,1
