new,done,reqQ,exeQ,repQ,donQ,handler,fetch,hit,delayHit,turnover,waitList
1,0,0,0,0,0,10,0,0,0,0,0
119,119,0,0,0,0,10,0,0,0,0,0
160,160,0,0,0,0,10,0,0,0,0,0
180,180,0,0,0,0,10,0,0,0,0,0
164,164,0,0,0,0,10,0,0,0,0,0
192,192,0,0,0,0,10,0,0,0,0,0
184,184,0,0,0,0,10,0,0,0,0,0
184,184,0,0,0,0,10,0,0,0,0,0
176,176,0,0,0,0,10,0,0,0,0,0
194,194,0,0,0,0,10,0,0,0,0,0
164,164,0,0,0,0,10,0,0,0,0,0
194,194,0,0,0,0,10,0,0,0,0,0
183,182,0,0,0,0,10,0,0,0,0,0
191,191,0,0,0,0,10,0,0,0,0,0
184,184,0,0,0,0,10,0,0,0,0,0
150,150,0,0,0,0,10,0,0,0,0,0
188,188,0,0,0,0,10,0,0,0,0,0
184,184,0,0,0,0,10,0,0,0,0,0
184,184,0,0,0,0,10,0,0,0,0,0
188,188,0,0,0,0,10,0,0,0,0,0
175,175,0,0,0,0,10,0,0,0,0,0
186,186,0,0,0,0,10,0,0,0,0,0
193,193,0,0,0,0,10,0,0,0,0,0
183,183,0,0,0,0,10,0,0,0,0,0
182,182,0,0,0,0,10,0,0,0,0,0
172,172,0,0,0,0,10,0,0,0,0,0
193,193,0,0,0,0,10,0,0,0,0,0
187,187,0,0,0,0,10,0,0,0,0,0
175,175,0,0,0,0,10,0,0,0,0,0
190,190,0,0,0,0,10,0,0,0,0,0
170,171,0,0,0,0,10,0,0,0,0,0
148,147,0,0,0,0,10,0,0,0,0,0
191,191,0,0,0,0,10,0,0,0,0,0
191,191,0,0,0,0,10,0,0,0,0,0
207,207,0,0,0,0,10,0,0,0,0,0
198,198,0,0,0,0,10,0,0,0,0,0
192,192,0,0,0,0,10,0,0,0,0,0
165,165,0,0,0,0,10,0,0,0,0,0
191,191,0,0,0,0,10,0,0,0,0,0
187,187,0,0,0,0,10,0,0,0,0,0
191,191,0,0,0,0,10,0,0,0,0,0
199,199,0,0,0,0,10,0,0,0,0,0
192,192,0,0,0,0,10,0,0,0,0,0
195,195,0,0,0,0,10,0,0,0,0,0
194,194,0,0,0,0,10,0,0,0,0,0
186,186,0,0,0,0,10,0,0,0,0,0
203,203,0,0,0,0,10,0,0,0,0,0
194,194,0,0,0,0,10,0,0,0,0,0
174,174,0,0,0,0,10,0,0,0,0,0
164,164,0,0,0,0,10,0,0,0,0,0
183,183,0,0,0,0,10,0,0,0,0,0
194,194,0,0,0,0,10,0,0,0,0,0
201,201,0,0,0,0,10,0,0,0,0,0
197,196,0,0,0,0,10,0,0,0,0,0
197,197,0,0,0,0,10,0,0,0,0,0
185,185,0,0,0,0,10,0,0,0,0,0
161,162,0,0,0,0,10,0,0,0,0,0
180,179,0,0,0,0,10,0,0,0,0,0
183,183,0,0,0,0,10,0,0,0,0,0
179,179,0,0,0,0,10,0,0,0,0,0
183,183,0,0,0,0,10,0,0,0,0,0
167,167,0,0,0,0,10,0,0,0,0,0
95,96,0,0,0,0,10,0,0,0,0,0
121,120,0,0,0,0,10,0,0,0,0,0
182,182,0,0,0,0,10,0,0,0,0,0
186,186,0,0,0,0,10,0,0,0,0,0
179,180,0,0,0,0,10,0,0,0,0,0
0,0,0,0,0,0,10,0,0,0,0,0
