Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
2355081571, 1001, 0, 0, 1014, 0, 144, 0, 20, 0, 0
2355082585, 1002, 0, 0, 1008, 0, 144, 0, 20, 0, 0
2355083593, 956, 0, 11, 1023, 150, 144, 70, 19, 0, 696
2355084617, 951, 0, 39, 1018, 422, 144, 92, 19, 0, 1648
2355085635, 950, 0, 47, 1008, 459, 144, 93, 19, 0, 1743
2355086643, 951, 0, 45, 1021, 473, 144, 93, 19, 0, 1751
2355087664, 950, 0, 36, 1014, 460, 144, 92, 19, 0, 1738
2355088679, 950, 0, 53, 1015, 463, 144, 93, 19, 0, 1759
2355089694, 950, 0, 47, 1013, 470, 144, 93, 19, 0, 1767
2355090707, 950, 0, 47, 1019, 474, 145, 100, 19, 0, 1790
2355091726, 951, 0, 51, 1011, 505, 145, 103, 19, 0, 1932
2355092738, 950, 0, 50, 1006, 515, 145, 103, 19, 0, 1957
2355093744, 952, 1, 51, 1012, 507, 145, 103, 19, 0, 1940
2355094756, 950, 0, 48, 1014, 516, 145, 103, 19, 0, 1953
2355095770, 950, 0, 50, 1009, 511, 145, 103, 19, 0, 1947
2355096780, 951, 0, 48, 1014, 521, 145, 104, 19, 0, 1969
2355097795, 950, 0, 58, 1012, 529, 145, 106, 19, 0, 1999
2355098810, 952, 0, 50, 1011, 531, 145, 107, 19, 0, 2019
2355099821, 951, 0, 52, 1015, 526, 145, 106, 19, 0, 2014
2355100836, 950, 0, 45, 1016, 524, 145, 106, 19, 0, 1990
2355101852, 950, 0, 50, 1010, 495, 144, 100, 19, 0, 1886
2355102862, 950, 0, 53, 1013, 496, 144, 100, 19, 0, 1887
2355103876, 950, 0, 50, 1010, 487, 144, 100, 19, 0, 1884
2355104886, 950, 0, 51, 1009, 490, 144, 99, 19, 0, 1881
2355105896, 950, 0, 52, 1012, 490, 144, 101, 19, 0, 1895
2355106909, 951, 0, 53, 1009, 498, 144, 100, 19, 0, 1898
2355107919, 950, 0, 51, 1010, 483, 144, 98, 19, 0, 1856
2355108929, 951, 0, 46, 1018, 482, 144, 97, 19, 0, 1839
2355109948, 950, 0, 52, 1015, 461, 144, 96, 19, 0, 1815
2355110964, 950, 0, 49, 1012, 464, 146, 100, 19, 0, 1835
2355111976, 950, 0, 44, 1017, 483, 146, 100, 19, 0, 1890
2355112993, 951, 0, 44, 1014, 477, 146, 100, 19, 0, 1884
2355114007, 950, 0, 40, 1016, 484, 146, 99, 19, 0, 1873
2355115025, 952, 0, 49, 1016, 476, 146, 99, 19, 0, 1870
2355116042, 950, 0, 52, 1016, 465, 146, 97, 19, 0, 1821
2355117058, 950, 0, 48, 1017, 461, 146, 97, 19, 0, 1815
2355118075, 950, 0, 44, 1019, 469, 146, 97, 19, 0, 1807
2355119094, 952, 0, 41, 1016, 467, 146, 99, 19, 0, 1855
2355120111, 950, 0, 46, 1012, 472, 146, 99, 19, 0, 1841
2355121124, 950, 0, 52, 1012, 473, 147, 100, 19, 0, 1865
2355122136, 952, 0, 49, 1015, 477, 147, 101, 19, 0, 1919
2355123152, 950, 0, 49, 1014, 482, 147, 101, 19, 0, 1912
2355124166, 951, 0, 42, 1018, 490, 147, 102, 19, 0, 1938
2355125184, 950, 0, 48, 1013, 487, 147, 102, 19, 0, 1914
2355126197, 951, 0, 46, 1016, 488, 147, 101, 19, 0, 1901
2355127213, 951, 0, 44, 1016, 470, 147, 99, 19, 0, 1879
2355128229, 951, 0, 41, 1023, 478, 147, 100, 19, 0, 1899
2355129252, 950, 0, 47, 1011, 480, 147, 102, 19, 0, 1915
2355130265, 950, 0, 53, 1012, 486, 147, 102, 19, 0, 1928
2355131279, 950, 0, 55, 1014, 482, 147, 103, 19, 0, 1913
2355132293, 950, 0, 51, 1019, 482, 146, 100, 19, 0, 1878
2355133312, 950, 0, 55, 1010, 469, 146, 101, 19, 0, 1891
2355134322, 952, 0, 52, 1015, 475, 146, 102, 19, 0, 1907
2355135337, 950, 0, 59, 1014, 483, 146, 102, 19, 0, 1917
2355136352, 951, 0, 54, 1028, 500, 146, 105, 19, 0, 1959
2355137380, 951, 0, 39, 1018, 492, 146, 105, 19, 0, 1929
2355138398, 952, 0, 50, 1027, 484, 146, 101, 19, 0, 1907
2355139425, 952, 0, 46, 1016, 479, 146, 101, 19, 0, 1915
2355140441, 950, 0, 56, 1014, 479, 146, 104, 19, 0, 1941
2355141455, 953, 0, 52, 1017, 487, 146, 104, 19, 0, 1926
2355142472, 950, 0, 52, 1018, 477, 145, 101, 19, 0, 1912
2355143490, 951, 0, 49, 1018, 480, 145, 100, 19, 0, 1874
2355144508, 951, 0, 47, 1013, 464, 145, 100, 19, 0, 1876
2355145521, 950, 0, 51, 1007, 475, 145, 102, 19, 0, 1929
2355146528, 951, 0, 47, 1009, 488, 145, 104, 19, 0, 1959
2355147538, 953, 0, 50, 1014, 485, 145, 104, 19, 0, 1955
2355148553, 950, 0, 49, 1015, 482, 145, 101, 19, 0, 1915
2355149568, 951, 0, 49, 1008, 468, 145, 101, 19, 0, 1895
2355150576, 951, 0, 48, 1008, 465, 145, 100, 19, 0, 1900
2355151584, 953, 0, 42, 1011, 483, 145, 102, 19, 0, 1914
2355152595, 950, 0, 44, 1008, 484, 145, 103, 19, 0, 1934
2355153604, 950, 0, 54, 1012, 482, 145, 103, 19, 0, 1945
2355154617, 950, 0, 51, 1009, 484, 145, 104, 19, 0, 1968
2355155626, 952, 0, 47, 1007, 493, 145, 105, 19, 0, 1984
2355156637, 951, 0, 51, 1008, 515, 145, 109, 19, 0, 2030
2355157645, 950, 0, 46, 1024, 534, 145, 111, 19, 0, 2078
2355158669, 951, 0, 54, 1014, 526, 145, 111, 19, 0, 2092
2355159683, 950, 0, 52, 1014, 518, 145, 109, 19, 0, 2054
2355160698, 951, 0, 45, 1014, 501, 145, 107, 19, 0, 2000
2355161713, 950, 0, 45, 1010, 476, 145, 103, 19, 0, 1898
2355162723, 951, 0, 47, 1010, 476, 144, 101, 19, 0, 1904
2355163733, 951, 0, 40, 1015, 472, 144, 101, 19, 0, 1904
2355164748, 950, 0, 37, 1012, 467, 144, 100, 19, 0, 1896
2355165760, 950, 0, 38, 1015, 481, 144, 103, 19, 0, 1946
2355166775, 951, 0, 47, 1015, 513, 144, 107, 19, 0, 2004
2355167790, 950, 0, 50, 1011, 519, 144, 110, 19, 0, 2059
2355168801, 950, 0, 58, 1015, 533, 144, 112, 19, 0, 2100
2355169816, 950, 0, 56, 1013, 538, 144, 113, 19, 0, 2133
2355170829, 950, 0, 55, 1010, 530, 144, 113, 19, 0, 2134
2355171839, 953, 0, 46, 1010, 471, 140, 100, 19, 0, 1885
2355172849, 951, 0, 46, 1005, 469, 140, 99, 19, 0, 1864
2355173855, 952, 0, 51, 1010, 478, 140, 99, 19, 0, 1880
2355174865, 950, 0, 49, 1007, 483, 140, 101, 19, 0, 1905
2355175872, 950, 0, 43, 1009, 486, 140, 102, 19, 0, 1927
2355176882, 950, 0, 46, 1008, 486, 140, 102, 19, 0, 1933
2355177892, 950, 0, 56, 1017, 488, 140, 104, 19, 0, 1952
2355178909, 950, 0, 52, 1009, 503, 140, 104, 19, 0, 1951
2355179918, 950, 0, 44, 1009, 498, 140, 104, 19, 0, 1967
2355180928, 950, 0, 58, 1019, 512, 140, 110, 19, 0, 2024
2355181947, 951, 1, 50, 1020, 483, 138, 105, 19, 0, 1963
2355182967, 951, 0, 50, 1009, 519, 138, 110, 19, 0, 2030
2355183976, 950, 0, 48, 1008, 532, 138, 110, 19, 0, 2075
2355184985, 950, 0, 53, 1010, 521, 138, 109, 19, 0, 2016
2355185995, 954, 0, 50, 1013, 519, 138, 106, 19, 0, 1995
2355187010, 951, 0, 58, 1021, 530, 138, 111, 19, 0, 2077
2355188033, 950, 0, 53, 1010, 533, 138, 111, 19, 0, 2108
2355189045, 951, 0, 47, 1016, 536, 138, 111, 19, 0, 2099
2355190062, 950, 0, 51, 1017, 541, 138, 114, 19, 0, 2115
2355191079, 950, 0, 61, 1017, 534, 138, 117, 19, 0, 2088
2355192096, 951, 0, 49, 1012, 474, 134, 98, 19, 0, 1857
2355193108, 950, 0, 48, 1008, 472, 134, 97, 19, 0, 1835
2355194116, 950, 0, 49, 1008, 470, 134, 97, 19, 0, 1839
2355195124, 951, 0, 46, 1007, 469, 134, 98, 19, 0, 1850
2355196132, 951, 0, 44, 1007, 470, 134, 98, 19, 0, 1851
2355197139, 952, 0, 44, 1006, 472, 134, 100, 19, 0, 1883
2355198145, 950, 0, 48, 1006, 489, 134, 102, 19, 0, 1922
2355199151, 950, 0, 52, 1007, 491, 134, 102, 19, 0, 1935
2355200158, 950, 0, 50, 1014, 494, 134, 106, 19, 0, 1968
2355201172, 950, 0, 48, 1008, 520, 134, 106, 19, 0, 1977
2355202182, 950, 0, 46, 1007, 492, 132, 103, 19, 0, 1917
