Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
2354122000, 1001, 0, 5, 1037, 121, 9, 26, 20, 0, 61
2354123037, 908, 0, 38, 1045, 521, 9, 79, 18, 0, 1041
2354124082, 952, 0, 59, 1039, 460, 9, 86, 19, 0, 1620
2354125121, 901, 1, 63, 1006, 438, 9, 88, 18, 0, 1571
2354126127, 950, 0, 78, 1055, 458, 9, 88, 19, 0, 1672
2354127182, 950, 0, 73, 1050, 462, 9, 88, 19, 0, 1672
2354128232, 951, 0, 67, 1049, 456, 9, 88, 19, 0, 1666
2354129281, 900, 0, 74, 1006, 437, 9, 88, 18, 0, 1584
2354130287, 900, 1, 73, 1000, 439, 9, 89, 18, 0, 1585
2354131288, 950, 0, 68, 1048, 462, 9, 90, 19, 0, 1693
2354132336, 900, 0, 69, 1001, 448, 9, 89, 18, 0, 1602
2354133337, 950, 0, 65, 1047, 468, 9, 90, 19, 0, 1710
2354134384, 951, 0, 74, 1046, 474, 9, 90, 19, 0, 1710
2354135430, 950, 0, 73, 1053, 466, 9, 90, 19, 0, 1696
2354136483, 950, 0, 73, 1048, 459, 9, 89, 19, 0, 1691
2354137531, 951, 0, 80, 1052, 468, 9, 90, 19, 0, 1703
2354138583, 950, 0, 82, 1049, 472, 9, 90, 19, 0, 1708
2354139632, 952, 0, 67, 1047, 455, 9, 89, 19, 0, 1659
2354140679, 950, 0, 76, 1054, 453, 9, 87, 19, 0, 1653
2354141733, 953, 0, 73, 1054, 459, 9, 88, 19, 0, 1661
2354142787, 950, 1, 74, 1045, 458, 9, 89, 19, 0, 1681
2354143832, 950, 0, 80, 1054, 458, 9, 89, 19, 0, 1691
2354144886, 950, 0, 68, 1044, 452, 9, 89, 19, 0, 1691
2354145930, 951, 0, 71, 1043, 462, 9, 90, 19, 0, 1708
2354146973, 950, 0, 69, 1044, 463, 9, 90, 19, 0, 1710
2354148017, 950, 0, 79, 1045, 463, 9, 91, 19, 0, 1718
2354149062, 952, 0, 71, 1053, 456, 9, 91, 19, 0, 1729
