Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest
1583105452, 1001, 0, 0, 1003, 0, 64, 0, 20, 0
1583106455, 1002, 0, 7, 1020, 20, 64, 39, 20, 0
1583107475, 951, 0, 39, 1009, 299, 64, 68, 19, 0
1583108486, 950, 0, 43, 1007, 341, 64, 68, 19, 0
1583109494, 950, 0, 50, 1016, 341, 64, 68, 19, 0
1583110510, 951, 0, 46, 1006, 345, 64, 70, 19, 0
1583111517, 952, 0, 42, 1008, 349, 64, 70, 19, 0
1583112525, 950, 0, 44, 1009, 350, 64, 70, 19, 0
1583113534, 950, 0, 42, 1005, 346, 64, 71, 19, 0
1583114539, 950, 0, 44, 1008, 352, 66, 75, 19, 0
1583115547, 950, 0, 42, 1005, 371, 66, 76, 19, 0
1583116552, 951, 0, 62, 1026, 390, 66, 77, 19, 0
1583117578, 950, 0, 46, 1007, 386, 66, 77, 19, 0
1583118585, 952, 0, 46, 1010, 379, 66, 77, 19, 0
1583119595, 951, 0, 48, 1017, 376, 66, 74, 19, 0
1583120612, 950, 0, 49, 1006, 369, 66, 74, 19, 0
1583121618, 950, 0, 41, 1007, 373, 66, 75, 19, 0
1583122625, 950, 0, 54, 1018, 375, 66, 75, 19, 0
1583123643, 952, 0, 43, 1007, 371, 66, 75, 19, 0
1583124650, 950, 0, 48, 1011, 368, 67, 75, 19, 0
1583125661, 952, 0, 56, 1015, 377, 67, 75, 19, 0
1583126676, 951, 0, 43, 1006, 366, 67, 75, 19, 0
1583127682, 952, 0, 46, 1006, 365, 67, 75, 19, 0
1583128689, 952, 1, 44, 1007, 349, 67, 73, 19, 0
1583129696, 951, 0, 44, 1008, 365, 67, 73, 19, 0
1583130704, 950, 0, 48, 1008, 343, 67, 73, 19, 0
1583131712, 950, 0, 48, 1011, 337, 67, 70, 19, 0
1583132723, 950, 0, 48, 1019, 343, 67, 71, 19, 0
1583133742, 950, 0, 56, 1012, 345, 67, 73, 19, 0
1583134754, 950, 0, 48, 1011, 341, 68, 75, 19, 0
1583135765, 952, 0, 48, 1007, 360, 68, 76, 19, 0
1583136772, 951, 0, 47, 1010, 360, 68, 74, 19, 0
1583137782, 952, 0, 48, 1011, 345, 68, 74, 19, 0
1583138793, 952, 0, 47, 1009, 344, 68, 72, 19, 0
1583139802, 951, 0, 44, 1009, 323, 68, 71, 19, 0
1583140811, 950, 0, 45, 1011, 327, 68, 69, 19, 0
1583141823, 952, 0, 47, 1007, 308, 68, 67, 19, 0
1583142832, 950, 0, 44, 1011, 313, 68, 67, 19, 0
1583143843, 952, 0, 43, 1006, 306, 68, 66, 19, 0
1583144849, 950, 0, 53, 1011, 325, 70, 75, 19, 0
1583145860, 952, 0, 47, 1010, 350, 70, 75, 19, 0
1583146870, 950, 0, 48, 1008, 344, 70, 75, 19, 0
1583147878, 950, 0, 42, 1012, 327, 70, 71, 19, 0
1583148890, 950, 0, 51, 1010, 325, 70, 70, 19, 0
1583149900, 950, 0, 49, 1007, 330, 70, 71, 19, 0
1583150907, 952, 0, 41, 1004, 325, 70, 71, 19, 0
1583151911, 950, 0, 45, 1016, 327, 70, 70, 19, 0
1583152927, 950, 0, 43, 1010, 310, 70, 65, 19, 0
1583153937, 950, 0, 41, 1006, 293, 70, 63, 19, 0
1583154943, 950, 0, 41, 1009, 303, 73, 75, 19, 0
1583155952, 950, 0, 47, 1008, 342, 73, 75, 19, 0
1583156961, 950, 0, 42, 1005, 346, 73, 73, 19, 0
1583157966, 952, 0, 45, 1009, 337, 73, 70, 19, 0
1583158975, 952, 0, 48, 1015, 336, 73, 71, 19, 0
1583159990, 951, 0, 46, 1008, 335, 73, 72, 19, 0
1583160998, 950, 0, 51, 1010, 341, 73, 73, 19, 0
1583162008, 952, 0, 48, 1011, 342, 73, 72, 19, 0
1583163019, 950, 0, 43, 1007, 337, 73, 71, 19, 0
1583164026, 952, 0, 43, 1010, 335, 73, 70, 19, 0
1583165036, 950, 0, 47, 1018, 330, 75, 75, 19, 0
1583166054, 951, 0, 46, 1009, 363, 75, 77, 19, 0
1583167063, 951, 0, 43, 1007, 362, 75, 78, 19, 0
1583168071, 950, 0, 54, 1015, 358, 75, 74, 19, 0
1583169086, 950, 0, 46, 1008, 341, 75, 71, 19, 0
1583170095, 950, 0, 45, 1006, 327, 75, 71, 19, 0
1583171101, 951, 0, 53, 1012, 353, 75, 75, 19, 0
1583172113, 950, 0, 48, 1008, 354, 75, 76, 19, 0
1583173121, 951, 0, 50, 1009, 363, 75, 76, 19, 0
1583174131, 950, 0, 48, 1009, 350, 75, 76, 19, 0
1583175140, 950, 0, 45, 1008, 336, 77, 75, 19, 0
1583176149, 950, 0, 46, 1005, 352, 77, 74, 19, 0
1583177154, 950, 0, 49, 1007, 335, 77, 71, 19, 0
1583178161, 951, 0, 50, 1010, 345, 77, 72, 19, 0
1583179171, 950, 0, 44, 1007, 344, 77, 72, 19, 0
1583180178, 951, 0, 45, 1007, 329, 77, 69, 19, 0
1583181186, 951, 0, 46, 1014, 342, 77, 70, 19, 0
1583182201, 951, 0, 46, 1008, 333, 77, 73, 19, 0
1583183210, 951, 0, 44, 1006, 340, 77, 72, 19, 0
1583184216, 953, 0, 41, 1007, 332, 77, 69, 19, 0
1583185224, 951, 0, 41, 1010, 338, 79, 76, 19, 0
1583186235, 950, 0, 44, 1009, 358, 79, 76, 19, 0
1583187244, 950, 0, 45, 1007, 357, 79, 76, 19, 0
1583188253, 950, 0, 51, 1011, 344, 79, 71, 19, 0
1583189264, 950, 0, 46, 1007, 344, 79, 73, 19, 0
1583190271, 950, 0, 40, 1005, 339, 79, 72, 19, 0
1583191276, 950, 0, 43, 1006, 336, 79, 71, 19, 0
1583192282, 952, 0, 48, 1013, 338, 79, 72, 19, 0
1583193295, 951, 0, 45, 1010, 339, 79, 71, 19, 0
1583194305, 952, 0, 41, 1008, 324, 79, 70, 19, 0
1583195314, 951, 0, 43, 1006, 347, 81, 75, 19, 0
1583196320, 950, 0, 55, 1011, 348, 81, 76, 19, 0
1583197331, 951, 0, 48, 1009, 360, 81, 76, 19, 0
1583198340, 950, 0, 46, 1008, 367, 81, 77, 19, 0
1583199348, 950, 0, 45, 1006, 357, 81, 76, 19, 0
1583200355, 950, 0, 51, 1013, 346, 81, 76, 19, 0
1583201368, 950, 0, 44, 1008, 340, 81, 70, 19, 0
1583202376, 951, 0, 40, 1006, 330, 81, 70, 19, 0
1583203383, 950, 0, 44, 1006, 334, 81, 70, 19, 0
1583204390, 951, 0, 44, 1007, 323, 81, 70, 19, 0
1583205397, 950, 0, 50, 1012, 348, 83, 78, 19, 0
1583206409, 952, 0, 51, 1010, 400, 83, 85, 19, 0
1583207419, 951, 0, 54, 1010, 401, 83, 84, 19, 0
1583208429, 951, 0, 47, 1005, 401, 83, 84, 19, 0
1583209434, 950, 0, 51, 1006, 400, 83, 85, 19, 0
1583210440, 950, 0, 55, 1007, 380, 83, 82, 19, 0
1583211447, 950, 0, 51, 1014, 356, 83, 77, 19, 0
1583212461, 950, 0, 43, 1007, 349, 83, 73, 19, 0
1583213468, 951, 0, 50, 1007, 352, 83, 75, 19, 0
1583214476, 951, 0, 45, 1006, 352, 83, 74, 19, 0
1583215482, 950, 0, 48, 1007, 347, 85, 75, 19, 0
1583216489, 950, 0, 50, 1005, 363, 85, 75, 19, 0
1583217494, 950, 0, 49, 1011, 339, 85, 72, 19, 0
1583218505, 952, 0, 42, 1006, 319, 85, 69, 19, 0
1583219512, 950, 0, 46, 1008, 325, 85, 69, 19, 0
1583220520, 953, 0, 42, 1007, 328, 85, 71, 19, 0
1583221528, 951, 0, 44, 1005, 340, 85, 73, 19, 0
1583222533, 950, 0, 47, 1013, 339, 85, 73, 19, 0
1583223546, 951, 0, 42, 1013, 350, 85, 74, 19, 0
1583224559, 950, 0, 43, 1007, 345, 85, 73, 19, 0
1583225566, 950, 0, 55, 1017, 369, 86, 75, 19, 0
1583226583, 951, 0, 47, 1005, 355, 86, 76, 19, 0
1583227588, 951, 0, 44, 1007, 353, 86, 76, 19, 0
1583228595, 950, 0, 49, 1008, 360, 86, 75, 19, 0
1583229603, 950, 0, 52, 1011, 341, 86, 71, 19, 0
1583230614, 950, 0, 45, 1010, 351, 86, 75, 19, 0
1583231624, 951, 0, 54, 1027, 383, 86, 83, 19, 0
1583232651, 951, 0, 49, 1008, 382, 86, 83, 19, 0
1583233659, 950, 0, 68, 1026, 399, 86, 83, 19, 0
1583234685, 952, 0, 50, 1005, 401, 86, 87, 19, 0
1583235690, 950, 0, 45, 1012, 377, 86, 84, 19, 0
1583236702, 950, 0, 46, 1005, 375, 85, 80, 19, 0
1583237707, 950, 0, 48, 1007, 381, 85, 81, 19, 0
1583238714, 950, 0, 44, 1007, 366, 85, 79, 19, 0
1583239721, 950, 0, 52, 1009, 385, 85, 82, 19, 0
1583240730, 950, 0, 53, 1008, 401, 85, 87, 19, 0
1583241738, 950, 0, 51, 1006, 395, 85, 86, 19, 0
1583242744, 952, 0, 46, 1009, 378, 85, 83, 19, 0
1583243753, 950, 0, 49, 1009, 373, 85, 80, 19, 0
1583244762, 951, 0, 50, 1010, 356, 85, 76, 19, 0
1583245772, 951, 0, 50, 1010, 361, 86, 79, 19, 0
1583246782, 950, 0, 48, 1004, 378, 86, 80, 19, 0
1583247786, 950, 0, 49, 1006, 384, 86, 82, 19, 0
1583248792, 951, 0, 47, 1010, 390, 86, 81, 19, 0
1583249802, 952, 0, 41, 1012, 348, 86, 76, 19, 0
1583250815, 950, 0, 43, 1010, 341, 86, 76, 19, 0
1583251826, 951, 0, 47, 1010, 367, 86, 79, 19, 0
1583252836, 953, 0, 41, 1010, 375, 86, 80, 19, 0
1583253846, 952, 0, 45, 1010, 352, 86, 77, 19, 0
1583254856, 951, 0, 44, 1012, 313, 86, 68, 19, 0
1583255868, 950, 0, 58, 1018, 362, 88, 79, 19, 0
1583256886, 950, 0, 52, 1011, 408, 88, 90, 19, 0
1583257897, 950, 0, 48, 1001, 416, 88, 92, 19, 0
1583258899, 950, 0, 55, 1006, 438, 88, 95, 19, 0
1583259905, 950, 0, 53, 1007, 423, 88, 90, 19, 0
1583260914, 950, 0, 50, 1006, 408, 88, 88, 19, 0
1583261921, 950, 0, 51, 1010, 389, 88, 87, 19, 0
1583262931, 952, 0, 50, 1010, 414, 88, 90, 19, 0
1583263941, 950, 0, 49, 1005, 391, 88, 86, 19, 0
1583264947, 952, 0, 43, 1007, 369, 88, 80, 19, 0
1583265954, 950, 0, 54, 1013, 377, 88, 80, 19, 0
1583266967, 953, 0, 49, 1006, 396, 86, 86, 19, 0
1583267973, 951, 0, 49, 1006, 394, 86, 84, 19, 0
1583268979, 950, 0, 47, 1006, 411, 86, 87, 19, 0
1583269985, 950, 0, 52, 1011, 431, 86, 91, 19, 0
1583270996, 950, 0, 46, 1003, 450, 86, 97, 19, 0
1583272000, 951, 0, 51, 1009, 447, 86, 99, 19, 0
1583273009, 953, 0, 47, 1007, 438, 86, 94, 19, 0
1583274016, 950, 0, 54, 1008, 443, 86, 96, 19, 0
1583275024, 950, 0, 48, 1005, 466, 86, 97, 19, 0
1583276029, 951, 0, 43, 1007, 379, 84, 79, 19, 0
1583277036, 952, 0, 41, 1005, 361, 84, 77, 19, 0
1583278041, 951, 0, 47, 1014, 356, 84, 75, 19, 0
1583279057, 951, 0, 55, 1021, 329, 84, 70, 19, 0
1583280078, 951, 0, 40, 1006, 320, 84, 69, 19, 0
1583281084, 951, 0, 43, 1006, 326, 84, 73, 19, 0
1583282090, 950, 0, 42, 1007, 353, 84, 80, 19, 0
1583283097, 951, 0, 42, 1005, 350, 84, 76, 19, 0
1583284102, 950, 0, 45, 1007, 353, 84, 76, 19, 0
1583285109, 951, 0, 45, 1006, 352, 85, 76, 19, 0
1583286115, 951, 0, 43, 1006, 354, 85, 74, 19, 0
1583287121, 950, 0, 47, 1007, 331, 85, 71, 19, 0
1583288128, 950, 0, 42, 1007, 313, 85, 70, 19, 0
1583289135, 951, 0, 39, 1005, 297, 85, 67, 19, 0
1583290141, 951, 0, 35, 1005, 309, 85, 67, 19, 0
1583291146, 952, 0, 41, 1007, 309, 85, 67, 19, 0
1583292153, 953, 0, 43, 1007, 331, 85, 73, 19, 0
1583293160, 951, 0, 44, 1006, 368, 85, 80, 19, 0
1583294166, 951, 0, 58, 1028, 382, 85, 81, 19, 0
1583295198, 951, 0, 44, 1009, 371, 85, 82, 19, 0
1583296207, 950, 0, 43, 1006, 369, 84, 75, 19, 0
1583297213, 951, 0, 40, 1005, 338, 84, 74, 19, 0
1583298218, 950, 0, 41, 1008, 310, 84, 68, 19, 0
1583299226, 950, 0, 37, 1005, 306, 84, 66, 19, 0
1583300232, 952, 0, 38, 1017, 292, 84, 66, 19, 0
1583301250, 950, 0, 35, 1017, 318, 84, 68, 19, 0
1583302267, 901, 0, 60, 1001, 305, 84, 70, 18, 0
1583303268, 951, 0, 54, 1043, 350, 84, 73, 19, 0
1583304312, 951, 0, 43, 1021, 336, 84, 72, 19, 0
1583305333, 951, 0, 55, 1023, 342, 85, 75, 19, 0
1583306356, 957, 0, 42, 1032, 343, 85, 75, 19, 0
1583307389, 950, 0, 45, 1009, 316, 85, 68, 19, 0
1583308399, 951, 0, 45, 1006, 314, 85, 68, 19, 0
1583309405, 951, 0, 40, 1007, 321, 85, 71, 19, 0
1583310412, 952, 0, 41, 1006, 341, 85, 75, 19, 0
1583311418, 950, 0, 45, 1009, 359, 85, 79, 19, 0
1583312427, 952, 0, 49, 1015, 372, 85, 77, 19, 0
1583313442, 950, 0, 46, 1004, 353, 85, 78, 19, 0
1583314446, 950, 0, 59, 1019, 383, 85, 79, 19, 0
1583315465, 950, 0, 46, 1007, 341, 86, 75, 19, 0
1583316472, 951, 0, 45, 1006, 330, 86, 70, 19, 0
1583317478, 950, 0, 44, 1015, 340, 86, 76, 19, 0
1583318494, 951, 0, 44, 1005, 345, 86, 76, 19, 0
1583319499, 950, 0, 47, 1007, 328, 86, 71, 19, 0
1583320507, 950, 0, 42, 1008, 326, 86, 75, 19, 0
1583321515, 950, 0, 44, 1006, 368, 86, 76, 19, 0
1583322521, 952, 0, 42, 1007, 333, 86, 73, 19, 0
1583323528, 950, 0, 54, 1047, 323, 86, 70, 19, 0
1583324575, 950, 0, 27, 1035, 320, 86, 66, 19, 0
1583325610, 952, 0, 49, 1021, 330, 88, 76, 19, 0
1583326633, 950, 0, 46, 1033, 371, 88, 77, 19, 0
1583327666, 950, 0, 49, 1030, 360, 88, 78, 19, 0
1583328696, 951, 0, 50, 1011, 368, 88, 82, 19, 0
1583329708, 950, 0, 43, 1006, 354, 88, 77, 19, 0
1583330714, 950, 0, 43, 1008, 327, 88, 73, 19, 0
1583331723, 950, 0, 43, 1008, 354, 88, 79, 19, 0
1583332733, 950, 0, 50, 1008, 377, 88, 82, 19, 0
1583333741, 950, 0, 43, 1006, 376, 88, 81, 19, 0
1583334747, 950, 0, 43, 1003, 361, 88, 76, 19, 0
1583335751, 950, 0, 43, 1008, 352, 89, 80, 19, 0
1583336759, 950, 0, 46, 1005, 377, 89, 83, 19, 0
1583337764, 951, 0, 43, 1004, 374, 89, 84, 19, 0
1583338768, 951, 0, 52, 1017, 432, 89, 93, 19, 0
1583339785, 951, 0, 54, 1013, 450, 89, 98, 19, 0
1583340798, 950, 0, 53, 1007, 470, 89, 103, 19, 0
1583341805, 950, 0, 57, 1008, 477, 89, 103, 19, 0
1583342813, 950, 0, 51, 1005, 473, 89, 104, 19, 0
1583343818, 950, 0, 51, 1008, 484, 89, 102, 19, 0
1583344826, 951, 0, 48, 1006, 449, 89, 101, 19, 0
1583345833, 950, 0, 48, 1011, 409, 89, 100, 19, 0
1583346844, 951, 0, 38, 1003, 346, 86, 78, 19, 0
1583347847, 951, 0, 39, 1007, 331, 86, 73, 19, 0
1583348854, 950, 0, 43, 1006, 335, 86, 72, 19, 0
1583349862, 950, 0, 43, 1008, 333, 86, 71, 19, 0
1583350871, 951, 0, 40, 1006, 330, 86, 71, 19, 0
1583351878, 951, 0, 41, 1009, 358, 86, 81, 19, 0
1583352888, 950, 0, 45, 1008, 356, 86, 80, 19, 0
1583353897, 950, 0, 41, 1009, 344, 86, 74, 19, 0
1583354906, 952, 0, 36, 1007, 319, 86, 72, 19, 0
1583355914, 950, 0, 43, 1008, 340, 88, 79, 19, 0
1583356922, 950, 0, 48, 1009, 364, 88, 80, 19, 0
1583357932, 951, 0, 45, 1038, 369, 88, 83, 19, 0
1583358970, 950, 0, 48, 1005, 414, 88, 90, 19, 0
1583359975, 950, 0, 47, 1005, 408, 88, 91, 19, 0
1583360980, 950, 0, 48, 1005, 423, 88, 93, 19, 0
1583361985, 951, 0, 50, 1006, 413, 88, 91, 19, 0
1583362992, 950, 0, 47, 1007, 405, 88, 89, 19, 0
1583363999, 950, 0, 48, 1007, 415, 88, 90, 19, 0
1583365006, 950, 0, 51, 1009, 438, 88, 93, 19, 0
1583366015, 952, 0, 42, 1005, 369, 88, 94, 19, 0
1583367020, 950, 0, 44, 1004, 327, 86, 73, 19, 0
1583368025, 950, 0, 47, 1008, 337, 86, 72, 19, 0
1583369033, 951, 0, 44, 1008, 317, 86, 68, 19, 0
1583370041, 952, 0, 44, 1008, 328, 86, 70, 19, 0
1583371049, 950, 0, 45, 1005, 329, 86, 74, 19, 0
1583372054, 950, 0, 42, 1005, 343, 86, 73, 19, 0
1583373060, 950, 0, 46, 1007, 325, 86, 72, 19, 0
1583374068, 950, 0, 45, 1006, 361, 86, 79, 19, 0
1583375074, 951, 0, 40, 1003, 367, 86, 78, 19, 0
1583376077, 952, 0, 43, 1008, 337, 87, 76, 19, 0
1583377085, 950, 0, 39, 1007, 301, 87, 67, 19, 0
1583378093, 953, 0, 39, 1012, 325, 87, 70, 19, 0
1583379107, 950, 0, 49, 1011, 331, 87, 73, 19, 0
1583380118, 951, 0, 43, 1008, 344, 87, 73, 19, 0
1583381126, 950, 0, 49, 1008, 357, 87, 76, 19, 0
1583382135, 950, 0, 46, 1004, 350, 87, 77, 19, 0
1583383139, 952, 0, 46, 1007, 347, 87, 74, 19, 0
1583384147, 957, 0, 44, 1015, 347, 87, 74, 19, 0
1583385162, 951, 0, 49, 1012, 333, 87, 71, 19, 0
1583386174, 951, 0, 46, 1006, 353, 88, 75, 19, 0
1583387180, 952, 0, 39, 1005, 346, 88, 74, 19, 0
1583388186, 953, 0, 50, 1009, 346, 88, 74, 19, 0
1583389195, 951, 0, 44, 1007, 334, 88, 74, 19, 0
1583390202, 951, 0, 47, 1007, 341, 88, 75, 19, 0
1583391210, 950, 0, 39, 1008, 338, 88, 73, 19, 0
1583392218, 951, 0, 50, 1017, 345, 88, 76, 19, 0
1583393235, 951, 0, 44, 1009, 348, 88, 74, 19, 0
1583394245, 951, 0, 43, 1008, 339, 88, 73, 19, 0
1583395254, 951, 0, 54, 1025, 336, 88, 70, 19, 0
1583396279, 953, 0, 54, 1015, 363, 89, 85, 19, 0
1583397294, 950, 0, 60, 1013, 429, 89, 92, 19, 0
1583398307, 951, 0, 52, 1010, 418, 89, 92, 19, 0
1583399317, 950, 0, 50, 1011, 392, 89, 86, 19, 0
1583400328, 950, 0, 46, 1015, 352, 89, 77, 19, 0
1583401343, 951, 0, 39, 1006, 315, 89, 70, 19, 0
1583402350, 950, 0, 43, 1006, 331, 89, 76, 19, 0
1583403356, 952, 0, 46, 1008, 380, 89, 82, 19, 0
1583404365, 950, 0, 45, 1006, 369, 89, 80, 19, 0
1583405371, 951, 0, 47, 1007, 384, 89, 79, 19, 1
1583406378, 950, 0, 41, 1009, 377, 87, 75, 19, 1
1583407387, 951, 0, 42, 1005, 375, 87, 78, 19, 1
1583408392, 952, 0, 47, 1007, 382, 87, 88, 19, 1
1583409399, 950, 0, 51, 1010, 434, 87, 89, 19, 1
1583410409, 950, 0, 52, 1016, 425, 87, 88, 19, 1
1583411425, 950, 0, 49, 1007, 426, 87, 88, 19, 1
