Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest
1582304131, 1004, 0, 0, 1041, 0, 16, 0, 20, 0
1582305172, 1001, 0, 0, 1006, 0, 16, 0, 20, 0
1582306178, 1002, 0, 17, 1050, 61, 16, 55, 20, 0
1582307228, 951, 0, 62, 1027, 372, 16, 78, 19, 0
1582308255, 951, 0, 69, 1032, 400, 16, 78, 19, 0
1582309287, 952, 0, 64, 1030, 399, 16, 78, 19, 0
1582310317, 952, 0, 60, 1023, 401, 16, 78, 19, 0
1582311340, 951, 0, 63, 1026, 405, 16, 79, 19, 0
1582312366, 951, 0, 62, 1029, 407, 16, 80, 19, 0
1582313395, 952, 0, 62, 1027, 400, 16, 80, 19, 0
1582314422, 950, 0, 63, 1028, 351, 15, 69, 19, 0
1582315450, 950, 0, 59, 1022, 351, 15, 69, 19, 0
1582316472, 951, 0, 63, 1029, 350, 15, 69, 19, 0
1582317501, 950, 0, 58, 1024, 340, 15, 67, 19, 0
1582318525, 950, 0, 62, 1032, 347, 15, 67, 19, 0
1582319557, 951, 0, 62, 1027, 351, 15, 67, 19, 0
1582320584, 951, 0, 62, 1026, 338, 15, 67, 19, 0
1582321610, 950, 0, 63, 1030, 333, 15, 66, 19, 0
1582322640, 950, 0, 59, 1033, 331, 15, 65, 19, 0
1582323673, 951, 0, 57, 1027, 354, 16, 75, 19, 0
1582324700, 951, 0, 65, 1027, 374, 16, 77, 19, 0
1582325728, 950, 0, 65, 1029, 362, 16, 75, 19, 0
1582326757, 951, 0, 63, 1032, 375, 16, 77, 19, 0
1582327789, 951, 0, 65, 1027, 376, 16, 77, 19, 0
1582328816, 951, 0, 61, 1030, 361, 16, 74, 19, 0
1582329846, 950, 0, 63, 1027, 364, 16, 78, 19, 0
1582330873, 950, 0, 69, 1026, 389, 16, 80, 19, 0
1582331899, 950, 0, 67, 1028, 384, 16, 80, 19, 0
1582332927, 950, 0, 67, 1030, 373, 16, 77, 19, 0
1582333957, 950, 0, 59, 1026, 383, 16, 79, 19, 0
1582334983, 950, 0, 65, 1028, 366, 15, 74, 19, 0
1582336011, 950, 0, 67, 1035, 349, 15, 75, 19, 0
1582337046, 952, 0, 63, 1030, 372, 15, 78, 19, 0
1582338076, 951, 0, 70, 1032, 378, 15, 80, 19, 0
1582339109, 950, 0, 81, 1039, 397, 15, 81, 19, 0
1582340149, 951, 0, 72, 1037, 408, 15, 84, 19, 0
1582341186, 950, 0, 71, 1032, 407, 15, 84, 19, 0
1582342218, 951, 0, 72, 1030, 404, 15, 84, 19, 0
1582343248, 950, 0, 72, 1031, 386, 15, 82, 19, 0
1582344279, 951, 0, 61, 1030, 353, 14, 73, 19, 0
1582345309, 952, 0, 60, 1031, 358, 14, 73, 19, 0
1582346340, 950, 0, 75, 1039, 357, 14, 73, 19, 0
1582347379, 950, 0, 66, 1034, 354, 14, 72, 19, 0
1582348413, 950, 0, 62, 1033, 338, 14, 70, 19, 0
1582349446, 950, 0, 66, 1027, 345, 14, 74, 19, 0
1582350473, 950, 0, 62, 1025, 364, 14, 76, 19, 0
1582351498, 950, 0, 63, 1029, 362, 14, 79, 19, 0
1582352527, 950, 0, 69, 1031, 392, 14, 82, 19, 0
1582353558, 950, 0, 65, 1031, 403, 14, 82, 19, 0
1582354589, 951, 0, 66, 1032, 334, 11, 70, 19, 0
1582355621, 951, 0, 82, 1048, 332, 11, 70, 19, 0
1582356669, 951, 0, 64, 1031, 339, 11, 72, 19, 0
1582357700, 952, 0, 66, 1030, 350, 11, 74, 19, 0
1582358730, 952, 0, 63, 1034, 356, 11, 74, 19, 0
1582359764, 951, 0, 62, 1028, 360, 11, 75, 19, 0
1582360792, 950, 0, 64, 1029, 352, 11, 73, 19, 0
1582361821, 950, 0, 59, 1030, 351, 11, 72, 19, 0
1582362851, 950, 0, 66, 1029, 351, 11, 76, 19, 0
1582363880, 952, 0, 61, 1031, 371, 11, 79, 19, 0
1582364911, 950, 0, 65, 1031, 380, 11, 79, 19, 0
1582365942, 950, 0, 69, 1031, 387, 11, 80, 19, 0
1582366973, 950, 0, 66, 1026, 390, 11, 81, 19, 0
1582367999, 950, 0, 66, 1031, 393, 11, 80, 19, 0
1582369030, 952, 0, 67, 1036, 381, 11, 81, 19, 0
1582370066, 951, 0, 63, 1028, 391, 11, 83, 19, 0
1582371094, 952, 0, 66, 1030, 418, 11, 86, 19, 0
1582372124, 951, 0, 69, 1028, 427, 11, 87, 19, 0
1582373152, 950, 0, 78, 1033, 440, 11, 90, 19, 0
1582374185, 950, 0, 65, 1027, 401, 11, 92, 19, 0
1582375212, 950, 0, 68, 1027, 377, 10, 80, 19, 0
1582376239, 952, 0, 63, 1034, 388, 10, 81, 19, 0
1582377273, 951, 0, 64, 1031, 378, 10, 77, 19, 0
1582378304, 950, 0, 66, 1030, 366, 10, 77, 19, 0
1582379334, 950, 0, 62, 1024, 364, 10, 77, 19, 0
1582380358, 950, 0, 62, 1026, 386, 10, 79, 19, 0
1582381384, 950, 0, 66, 1030, 383, 10, 82, 19, 0
1582382414, 950, 0, 79, 1038, 407, 10, 84, 19, 0
1582383452, 950, 0, 61, 1027, 411, 10, 84, 19, 0
1582384479, 950, 0, 64, 1027, 366, 9, 79, 19, 0
1582385506, 950, 0, 64, 1025, 380, 9, 79, 19, 0
1582386531, 951, 0, 65, 1028, 385, 9, 82, 19, 0
1582387559, 952, 0, 66, 1031, 383, 9, 80, 19, 0
1582388590, 950, 0, 64, 1028, 379, 9, 80, 19, 0
1582389618, 950, 0, 82, 1044, 398, 9, 82, 19, 0
1582390662, 950, 0, 61, 1026, 395, 9, 84, 19, 0
1582391688, 950, 0, 67, 1030, 382, 9, 83, 19, 0
1582392719, 951, 0, 76, 1038, 389, 9, 82, 19, 0
1582393757, 951, 0, 70, 1031, 392, 9, 80, 19, 0
1582394788, 950, 0, 65, 1026, 375, 9, 79, 19, 0
1582395814, 950, 0, 67, 1028, 389, 9, 83, 19, 0
1582396843, 951, 0, 79, 1039, 412, 9, 86, 19, 0
1582397882, 950, 0, 69, 1028, 409, 9, 88, 19, 0
1582398910, 952, 0, 66, 1038, 426, 9, 92, 19, 0
