Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest
1520478539, 1002, 0, 0, 1003, 0, 4, 0, 20, 0
1520479542, 1000, 0, 0, 1002, 0, 4, 0, 20, 0
1520480544, 1001, 0, 8, 1029, 64, 4, 28, 20, 0
1520481573, 1000, 0, 34, 1042, 145, 4, 28, 20, 0
1520482615, 1002, 0, 22, 1038, 143, 4, 28, 20, 0
1520483653, 1000, 0, 26, 1037, 146, 4, 28, 20, 0
1520484690, 1002, 0, 17, 1044, 146, 4, 28, 20, 0
1520485734, 1000, 0, 24, 1045, 145, 4, 28, 20, 0
1520486779, 1003, 0, 28, 1048, 141, 4, 27, 20, 0
1520487827, 1000, 0, 29, 1047, 137, 4, 27, 20, 0
1520488874, 1000, 0, 18, 1040, 137, 4, 27, 20, 0
1520489914, 1000, 0, 20, 1040, 138, 4, 27, 20, 0
1520490954, 1000, 0, 16, 1044, 133, 4, 26, 20, 0
1520491998, 1001, 0, 18, 1041, 130, 4, 26, 20, 0
1520493039, 1000, 0, 27, 1044, 132, 4, 26, 20, 0
1520494083, 1002, 0, 31, 1042, 134, 4, 26, 20, 0
1520495125, 1002, 0, 30, 1049, 136, 4, 26, 20, 0
1520496174, 1002, 0, 27, 1040, 133, 4, 26, 20, 0
1520497214, 1000, 0, 37, 1048, 134, 4, 26, 20, 0
1520498262, 1001, 0, 25, 1040, 127, 4, 26, 20, 0
1520499302, 1001, 0, 25, 1043, 133, 4, 26, 20, 0
1520500345, 1001, 0, 29, 1043, 131, 4, 26, 20, 0
1520501388, 1001, 0, 37, 1046, 130, 4, 26, 20, 0
1520502434, 1002, 0, 17, 1039, 126, 4, 26, 20, 0
1520503473, 1001, 0, 24, 1041, 129, 4, 25, 20, 0
1520504514, 1002, 0, 29, 1043, 126, 4, 25, 20, 0
1520505557, 1001, 0, 26, 1044, 128, 4, 25, 20, 0
1520506601, 1001, 0, 24, 1040, 117, 4, 24, 20, 0
1520507641, 1000, 0, 29, 1046, 122, 4, 24, 20, 0
1520508687, 1002, 0, 30, 1042, 118, 4, 24, 20, 0
1520509729, 1000, 0, 33, 1043, 125, 4, 24, 20, 0
1520510772, 1000, 0, 25, 1042, 123, 4, 24, 20, 0
1520511814, 1001, 0, 26, 1043, 119, 4, 24, 20, 0
1520512857, 1003, 0, 22, 1041, 115, 4, 23, 20, 0
1520513898, 1000, 0, 28, 1043, 121, 4, 24, 20, 0
1520514941, 1001, 0, 26, 1043, 120, 4, 24, 20, 0
1520515984, 1000, 0, 26, 1041, 125, 4, 25, 20, 0
1520517025, 1000, 0, 26, 1043, 125, 4, 25, 20, 0
1520518068, 1001, 0, 29, 1042, 124, 4, 25, 20, 0
1520519110, 1000, 0, 22, 1042, 110, 4, 24, 20, 0
1520520152, 1001, 0, 16, 1044, 108, 4, 21, 20, 0
1520521197, 1001, 0, 20, 1045, 108, 4, 21, 20, 0
1520522242, 1002, 0, 28, 1044, 99, 4, 20, 20, 0
1520523286, 1002, 0, 27, 1051, 98, 4, 20, 20, 0
1520524337, 1000, 0, 14, 1042, 82, 4, 17, 20, 0
1520525379, 1001, 0, 18, 1042, 77, 4, 16, 20, 0
1520526421, 1001, 0, 14, 1049, 82, 4, 16, 20, 0
1520527470, 1001, 0, 15, 1046, 80, 4, 16, 20, 0
1520528516, 1001, 0, 14, 1048, 74, 4, 16, 20, 0
1520529564, 1000, 0, 21, 1042, 84, 4, 16, 20, 0
1520530606, 1001, 0, 7, 1041, 79, 4, 16, 20, 0
1520531647, 1001, 0, 15, 1044, 70, 4, 15, 20, 0
1520532691, 1001, 0, 16, 1043, 63, 4, 13, 20, 0
1520533734, 1001, 0, 15, 1046, 62, 4, 13, 20, 0
1520534780, 1001, 0, 14, 1044, 55, 4, 11, 20, 0
1520535824, 1001, 0, 11, 1041, 46, 4, 10, 20, 0
1520536865, 1002, 0, 10, 1045, 41, 4, 8, 20, 0
1520537910, 1000, 0, 11, 1040, 37, 4, 8, 20, 0
1520538951, 1000, 0, 9, 1043, 40, 4, 8, 20, 0
1520539994, 1002, 0, 7, 1051, 38, 4, 8, 20, 0
1520541045, 1000, 0, 9, 1046, 32, 4, 7, 20, 0
1520542091, 1002, 0, 8, 1047, 33, 4, 6, 20, 0
1520543138, 1000, 0, 7, 1042, 26, 4, 6, 20, 0
1520544180, 1000, 0, 5, 1049, 32, 4, 6, 20, 0
1520545229, 1004, 0, 3, 1048, 25, 4, 5, 20, 0
1520546277, 1000, 0, 8, 1048, 27, 4, 5, 20, 0
1520547325, 1001, 0, 5, 1042, 26, 4, 5, 20, 0
1520548367, 1001, 0, 10, 1050, 26, 4, 5, 20, 0
1520549417, 1000, 0, 12, 1048, 23, 4, 5, 20, 0
1520550465, 1000, 0, 6, 1048, 25, 4, 5, 20, 0
1520551513, 1001, 0, 10, 1045, 24, 4, 5, 20, 0
1520552558, 1000, 0, 12, 1042, 20, 4, 4, 20, 0
1520553600, 1000, 0, 11, 1044, 22, 4, 4, 20, 0
1520554644, 1000, 0, 9, 1043, 20, 4, 4, 20, 0
1520555687, 1001, 0, 8, 1047, 21, 4, 4, 20, 0
1520556734, 952, 0, 9, 1002, 19, 4, 4, 19, 0
1520557737, 1001, 0, 6, 1045, 20, 4, 4, 20, 0
1520558782, 1000, 0, 9, 1047, 20, 4, 4, 20, 0
1520559829, 1002, 0, 10, 1050, 18, 4, 4, 20, 0
1520560879, 1002, 0, 5, 1047, 16, 4, 3, 20, 0
1520561926, 1001, 0, 1, 1053, 15, 4, 3, 20, 0
1520562979, 1002, 0, 3, 1044, 14, 4, 3, 20, 0
1520564023, 1001, 0, 3, 1043, 16, 4, 3, 20, 0
1520565067, 1003, 0, 1, 1051, 15, 4, 3, 20, 0
1520566118, 1001, 0, 7, 1048, 16, 4, 3, 20, 0
1520567166, 1000, 0, 3, 1048, 14, 4, 3, 20, 0
1520568214, 1001, 0, 3, 1051, 14, 4, 3, 20, 0
1520569265, 1002, 0, 2, 1043, 15, 4, 3, 20, 0
1520570308, 1001, 0, 4, 1046, 17, 4, 3, 20, 0
1520571354, 1002, 0, 8, 1049, 15, 4, 3, 20, 0
1520572403, 1000, 0, 8, 1043, 19, 4, 4, 20, 0
1520573446, 1000, 0, 10, 1046, 15, 4, 3, 20, 0
1520574492, 1000, 0, 5, 1045, 13, 4, 3, 20, 0
1520575537, 1000, 0, 9, 1043, 10, 4, 2, 20, 0
1520576580, 951, 0, 1, 1002, 6, 4, 2, 19, 0
1520577582, 1000, 0, 0, 1049, 0, 4, 0, 20, 0
1520578631, 1000, 0, 0, 1042, 0, 4, 0, 20, 0
1520579673, 1001, 0, 3, 1050, 4, 4, 1, 20, 0
1520580723, 1000, 0, 4, 1047, 6, 4, 1, 20, 0
1520581770, 1000, 0, 8, 1049, 5, 4, 1, 20, 0
1520582819, 1000, 0, 2, 1048, 5, 4, 1, 20, 0
1520583867, 1001, 0, 1, 1044, 4, 4, 1, 20, 0
1520584911, 1001, 0, 2, 1042, 6, 4, 2, 20, 0
1520585953, 1001, 0, 5, 1045, 10, 4, 2, 20, 0
1520586998, 1004, 0, 5, 1051, 9, 4, 2, 20, 0
1520588049, 1002, 0, 3, 1050, 10, 4, 2, 20, 0
1520589099, 1002, 0, 2, 1046, 12, 4, 2, 20, 0
1520590145, 1002, 0, 6, 1053, 12, 4, 3, 20, 0
1520591198, 950, 0, 0, 1005, 8, 4, 2, 19, 0
1520592203, 1002, 0, 5, 1045, 4, 4, 1, 20, 0
1520593248, 1001, 0, 0, 1047, 0, 4, 0, 20, 0
1520594295, 1001, 0, 0, 1042, 0, 4, 0, 20, 0
1520595337, 1001, 0, 0, 1044, 0, 4, 0, 20, 0
1520596381, 1000, 0, 0, 1046, 0, 4, 0, 20, 0
1520597427, 1001, 0, 0, 1046, 0, 4, 0, 20, 0
1520598473, 1002, 0, 0, 1039, 0, 4, 0, 20, 0
1520599512, 1003, 0, 0, 1050, 0, 4, 0, 20, 0
1520600562, 1002, 0, 0, 1052, 0, 4, 0, 20, 0
1520601614, 1001, 0, 0, 1045, 0, 4, 0, 20, 0
1520602659, 1003, 0, 0, 1046, 0, 4, 0, 20, 0
1520603705, 1001, 0, 0, 1050, 0, 4, 0, 20, 0
1520604755, 1001, 0, 0, 1047, 0, 4, 0, 20, 0
1520605802, 1001, 0, 0, 1046, 0, 4, 0, 20, 0
1520606848, 1002, 0, 0, 1048, 0, 4, 0, 20, 0
1520607896, 1001, 0, 1, 1041, 1, 4, 1, 20, 0
1520608937, 1000, 0, 3, 1047, 5, 4, 1, 20, 0
1520609984, 1001, 0, 1, 1048, 5, 4, 1, 20, 0
1520611032, 1000, 0, 5, 1045, 6, 4, 2, 20, 0
1520612077, 951, 0, 9, 1006, 10, 4, 2, 19, 0
1520613083, 1001, 0, 6, 1047, 10, 4, 2, 20, 0
1520614130, 1000, 0, 3, 1042, 10, 4, 2, 20, 0
1520615172, 1001, 0, 3, 1043, 10, 4, 2, 20, 0
1520616215, 1001, 0, 6, 1046, 10, 4, 2, 20, 0
1520617261, 1001, 0, 5, 1043, 10, 4, 2, 20, 0
1520618304, 1001, 0, 4, 1046, 11, 4, 2, 20, 0
1520619350, 1000, 0, 1, 1044, 5, 4, 1, 20, 0
1520620394, 1000, 0, 1, 1046, 4, 4, 1, 20, 0
1520621440, 1001, 0, 2, 1043, 5, 4, 1, 20, 0
1520622483, 1000, 0, 3, 1044, 8, 4, 2, 20, 0
1520623527, 1003, 0, 2, 1044, 5, 4, 1, 20, 0
1520624571, 1000, 0, 1, 1042, 5, 4, 1, 20, 0
1520625613, 1002, 0, 2, 1044, 6, 4, 1, 20, 0
1520626657, 1000, 0, 6, 1044, 5, 4, 1, 20, 0
1520627701, 1003, 0, 0, 1043, 4, 4, 1, 20, 0
1520628744, 1000, 0, 2, 1045, 5, 4, 1, 20, 0
1520629789, 1003, 0, 1, 1040, 6, 4, 1, 20, 0
1520630829, 1003, 0, 2, 1051, 5, 4, 2, 20, 0
1520631880, 952, 0, 6, 1003, 13, 4, 3, 19, 0
1520632883, 1002, 0, 6, 1052, 14, 4, 3, 20, 0
1520633935, 1000, 0, 6, 1051, 15, 4, 3, 20, 0
1520634986, 1000, 0, 6, 1047, 17, 4, 3, 20, 0
1520636033, 1003, 0, 6, 1047, 15, 4, 3, 20, 0
1520637080, 1001, 0, 3, 1047, 14, 4, 3, 20, 0
1520638127, 1001, 0, 1, 1049, 12, 4, 3, 20, 0
1520639176, 1001, 0, 5, 1050, 7, 4, 2, 20, 0
1520640226, 1001, 0, 3, 1045, 6, 4, 1, 20, 0
1520641271, 1001, 0, 7, 1045, 6, 4, 2, 20, 0
1520642316, 1000, 0, 4, 1048, 9, 4, 2, 20, 0
1520643364, 1001, 0, 4, 1048, 11, 4, 2, 20, 0
1520644412, 1000, 0, 5, 1040, 11, 4, 2, 20, 0
1520645452, 1001, 0, 6, 1045, 9, 4, 2, 20, 0
1520646497, 1001, 0, 2, 1041, 12, 4, 3, 20, 0
1520647538, 1000, 0, 4, 1047, 10, 4, 2, 20, 0
1520648585, 1002, 0, 3, 1048, 9, 4, 2, 20, 0
1520649633, 1000, 0, 4, 1044, 11, 4, 2, 20, 0
1520650677, 1002, 0, 3, 1043, 7, 4, 2, 20, 0
