Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest
1580710843, 1001, 0, 0, 1026, 0, 64, 0, 20, 0
1580711871, 1000, 0, 0, 1006, 0, 64, 0, 20, 0
1580712877, 1000, 0, 36, 1053, 201, 64, 76, 20, 0
1580713930, 950, 0, 47, 1008, 385, 64, 76, 19, 0
1580714938, 950, 0, 52, 1014, 383, 64, 76, 19, 0
1580715952, 951, 0, 46, 1007, 376, 64, 75, 19, 0
1580716959, 950, 0, 47, 1009, 381, 64, 76, 19, 0
1580717968, 952, 0, 42, 1007, 376, 64, 75, 19, 0
1580718975, 950, 0, 48, 1009, 374, 64, 74, 19, 0
1580719984, 950, 0, 51, 1010, 374, 64, 74, 19, 0
1580720994, 951, 0, 47, 1009, 376, 64, 75, 19, 0
1580722005, 951, 0, 51, 1012, 380, 64, 75, 19, 0
1580723017, 950, 0, 46, 1011, 379, 64, 76, 19, 0
1580724028, 953, 0, 46, 1009, 381, 64, 76, 19, 0
1580725038, 950, 0, 53, 1010, 380, 64, 76, 19, 0
1580726048, 950, 0, 46, 1008, 377, 64, 75, 19, 0
1580727056, 950, 0, 47, 1009, 375, 64, 75, 19, 0
1580728066, 951, 0, 48, 1008, 375, 64, 75, 19, 0
1580729074, 950, 0, 47, 1010, 371, 64, 75, 19, 0
1580730084, 950, 0, 48, 1011, 373, 64, 75, 19, 0
1580731095, 950, 0, 50, 1009, 369, 64, 75, 19, 0
1580732104, 952, 0, 48, 1014, 372, 64, 76, 19, 0
1580733118, 950, 0, 48, 1010, 377, 64, 76, 19, 0
1580734128, 951, 0, 51, 1010, 370, 64, 76, 19, 0
1580735138, 950, 0, 52, 1011, 373, 64, 77, 19, 0
1580736149, 950, 0, 50, 1010, 369, 64, 77, 19, 0
1580737159, 950, 0, 53, 1010, 365, 64, 77, 19, 0
1580738169, 950, 0, 51, 1008, 373, 64, 78, 19, 0
1580739177, 950, 0, 53, 1010, 384, 64, 79, 19, 0
1580740187, 950, 0, 53, 1010, 373, 64, 79, 19, 0
1580741197, 951, 0, 49, 1009, 366, 64, 79, 19, 0
1580742206, 950, 0, 56, 1016, 388, 64, 78, 19, 0
1580743222, 950, 0, 47, 1008, 374, 64, 79, 19, 0
1580744230, 950, 0, 56, 1015, 376, 64, 79, 19, 0
1580745246, 951, 0, 51, 1009, 374, 64, 79, 19, 0
1580746255, 951, 0, 53, 1009, 387, 64, 80, 19, 0
1580747264, 951, 0, 61, 1018, 384, 64, 82, 19, 0
1580748282, 952, 0, 49, 1009, 400, 64, 84, 19, 0
1580749291, 950, 0, 47, 1009, 396, 64, 84, 19, 0
1580750300, 950, 0, 54, 1009, 389, 64, 82, 19, 0
1580751309, 950, 0, 52, 1011, 396, 64, 81, 19, 0
1580752320, 950, 0, 45, 1009, 393, 64, 83, 19, 0
1580753329, 951, 0, 52, 1010, 392, 64, 83, 19, 0
1580754339, 950, 0, 51, 1007, 404, 64, 84, 19, 0
1580755346, 951, 0, 53, 1011, 396, 64, 84, 19, 0
1580756358, 950, 0, 52, 1012, 399, 64, 82, 19, 0
1580757370, 950, 0, 57, 1011, 395, 64, 83, 19, 0
1580758382, 951, 0, 55, 1010, 397, 64, 83, 19, 0
1580759392, 950, 0, 49, 1008, 404, 64, 84, 19, 0
1580760400, 951, 0, 61, 1013, 419, 64, 88, 19, 0
1580761413, 950, 0, 55, 1011, 430, 64, 90, 19, 0
1580762424, 951, 0, 55, 1011, 426, 64, 89, 19, 0
1580763435, 952, 0, 51, 1008, 426, 64, 90, 19, 0
1580764444, 951, 0, 56, 1011, 429, 64, 90, 19, 0
1580765455, 951, 0, 53, 1009, 433, 64, 91, 19, 0
1580766464, 950, 0, 59, 1011, 442, 64, 93, 19, 0
1580767475, 951, 0, 52, 1010, 456, 64, 94, 19, 0
1580768485, 951, 0, 57, 1011, 446, 64, 92, 19, 0
1580769496, 951, 0, 56, 1011, 442, 64, 94, 19, 0
1580770507, 950, 0, 56, 1011, 460, 64, 96, 19, 0
1580771518, 952, 0, 58, 1011, 448, 64, 96, 19, 0
1580772529, 952, 0, 63, 1019, 457, 64, 94, 19, 0
1580773548, 950, 0, 60, 1015, 447, 64, 95, 19, 0
1580774563, 951, 0, 52, 1007, 450, 64, 96, 19, 0
1580775570, 950, 0, 61, 1014, 474, 64, 96, 19, 0
1580776584, 950, 0, 52, 1009, 466, 64, 100, 19, 0
1580777593, 950, 0, 59, 1011, 487, 64, 101, 19, 0
1580778604, 951, 0, 67, 1022, 487, 64, 101, 19, 0
1580779626, 951, 0, 77, 1028, 489, 64, 100, 19, 0
1580780654, 951, 0, 52, 1013, 471, 64, 100, 19, 0
1580781667, 950, 0, 56, 1010, 464, 64, 97, 19, 0
1580782677, 950, 0, 60, 1019, 470, 64, 96, 19, 0
1580783696, 951, 0, 54, 1012, 463, 64, 98, 19, 0
1580784708, 950, 0, 51, 1011, 471, 64, 99, 19, 0
1580785719, 950, 0, 56, 1012, 475, 64, 99, 19, 0
1580786731, 950, 0, 51, 1009, 478, 64, 102, 19, 0
1580787740, 950, 0, 54, 1012, 483, 64, 102, 19, 0
1580788752, 950, 0, 52, 1008, 474, 64, 103, 19, 0
1580789760, 952, 0, 56, 1012, 507, 64, 105, 19, 0
1580790773, 950, 0, 54, 1008, 502, 64, 104, 19, 0
1580791781, 950, 0, 57, 1010, 498, 64, 104, 19, 0
1580792791, 950, 0, 57, 1012, 495, 64, 105, 19, 0
1580793803, 950, 0, 62, 1017, 504, 64, 104, 19, 0
1580794820, 951, 0, 55, 1013, 491, 64, 102, 19, 0
1580795833, 950, 0, 53, 1011, 494, 64, 102, 19, 0
1580796844, 951, 0, 55, 1015, 495, 64, 103, 19, 0
1580797859, 950, 0, 54, 1011, 495, 64, 104, 19, 0
1580798870, 952, 0, 55, 1013, 502, 64, 104, 19, 0
1580799883, 951, 0, 64, 1026, 495, 64, 105, 19, 0
1580800909, 950, 0, 61, 1019, 519, 64, 108, 19, 0
1580801929, 952, 0, 65, 1023, 526, 64, 107, 19, 0
1580802952, 950, 0, 66, 1023, 505, 64, 106, 19, 0
1580803976, 950, 0, 62, 1020, 507, 64, 106, 19, 0
1580804997, 950, 0, 63, 1022, 529, 64, 112, 19, 0
1580806019, 951, 0, 54, 1012, 545, 64, 113, 19, 0
1580807031, 950, 0, 63, 1020, 546, 64, 116, 19, 0
1580808052, 950, 0, 76, 1032, 553, 64, 115, 19, 0
1580809084, 952, 0, 54, 1010, 531, 64, 114, 19, 0
1580810094, 951, 0, 59, 1014, 551, 64, 114, 19, 0
1580811108, 950, 0, 58, 1013, 575, 64, 117, 19, 0
1580812122, 950, 0, 60, 1016, 565, 64, 118, 19, 0
1580813138, 951, 0, 55, 1010, 560, 64, 119, 19, 0
1580814150, 950, 0, 63, 1017, 568, 64, 121, 19, 0
1580815167, 950, 0, 61, 1011, 579, 64, 122, 19, 0
1580816179, 951, 0, 60, 1014, 591, 64, 122, 19, 0
1580817193, 950, 0, 60, 1012, 599, 64, 124, 19, 0
1580818205, 951, 0, 58, 1018, 591, 64, 125, 19, 0
1580819224, 950, 0, 61, 1014, 606, 64, 128, 19, 0
1580820239, 951, 0, 59, 1011, 604, 64, 128, 19, 0
1580821251, 950, 0, 59, 1011, 610, 64, 127, 19, 0
1580822262, 950, 0, 57, 1009, 592, 64, 126, 19, 0
1580823272, 950, 0, 58, 1009, 574, 64, 121, 19, 0
1580824281, 951, 0, 60, 1014, 596, 64, 124, 19, 0
1580825295, 951, 0, 57, 1009, 602, 64, 129, 19, 0
1580826304, 950, 0, 59, 1011, 623, 64, 133, 19, 0
1580827315, 950, 0, 77, 1029, 660, 64, 134, 19, 0
1580828344, 951, 0, 57, 1009, 639, 64, 134, 19, 0
1580829354, 951, 0, 59, 1012, 636, 64, 135, 19, 0
1580830367, 951, 0, 62, 1019, 660, 64, 134, 19, 0
1580831386, 951, 0, 50, 1009, 608, 64, 131, 19, 0
1580832395, 954, 0, 54, 1010, 621, 64, 133, 19, 0
1580833405, 950, 0, 58, 1013, 653, 64, 136, 19, 0
1580834419, 950, 0, 57, 1012, 652, 64, 136, 19, 0
1580835431, 950, 0, 60, 1015, 646, 64, 137, 19, 0
1580836447, 950, 0, 77, 1033, 668, 64, 137, 19, 0
1580837480, 950, 0, 59, 1011, 671, 64, 142, 19, 0
1580838491, 950, 0, 60, 1012, 669, 64, 142, 19, 0
1580839503, 950, 0, 64, 1016, 659, 64, 139, 19, 0
1580840520, 950, 0, 55, 1009, 671, 64, 139, 19, 0
1580841530, 950, 0, 56, 1008, 637, 64, 138, 19, 0
1580842538, 950, 0, 57, 1011, 651, 64, 136, 19, 0
1580843549, 950, 0, 60, 1013, 649, 64, 140, 19, 0
1580844562, 950, 0, 58, 1010, 665, 64, 143, 19, 0
1580845573, 950, 0, 61, 1014, 708, 64, 145, 19, 0
1580846587, 950, 0, 58, 1012, 692, 64, 144, 19, 0
1580847599, 951, 0, 54, 1011, 685, 64, 142, 19, 0
1580848610, 951, 0, 57, 1012, 668, 64, 140, 19, 0
1580849622, 950, 0, 58, 1012, 655, 64, 141, 19, 0
1580850634, 950, 0, 58, 1012, 649, 64, 137, 19, 0
1580851646, 950, 0, 59, 1012, 662, 64, 138, 19, 0
1580852659, 950, 0, 56, 1009, 644, 64, 138, 19, 0
1580853668, 950, 0, 56, 1012, 665, 64, 140, 19, 0
1580854680, 950, 0, 60, 1014, 677, 64, 141, 19, 0
1580855695, 950, 0, 66, 1019, 660, 64, 140, 19, 0
1580856715, 950, 0, 59, 1012, 680, 64, 142, 19, 0
1580857727, 950, 0, 76, 1028, 680, 64, 143, 19, 0
1580858755, 951, 0, 58, 1010, 691, 64, 142, 19, 0
1580859765, 950, 0, 62, 1014, 681, 64, 142, 19, 0
1580860779, 950, 0, 60, 1013, 683, 64, 143, 19, 0
1580861792, 950, 0, 57, 1011, 693, 64, 146, 19, 0
1580862803, 950, 0, 64, 1018, 703, 64, 146, 19, 0
1580863821, 951, 0, 59, 1014, 691, 64, 146, 19, 0
1580864835, 950, 0, 59, 1014, 707, 64, 146, 19, 0
1580865849, 950, 0, 60, 1013, 708, 64, 147, 19, 0
1580866862, 951, 0, 54, 1010, 692, 64, 146, 19, 0
1580867873, 950, 0, 59, 1014, 707, 64, 146, 19, 0
1580868889, 950, 0, 62, 1015, 686, 64, 145, 19, 0
1580869904, 951, 0, 58, 1013, 682, 64, 143, 19, 0
1580870917, 950, 0, 58, 1010, 686, 64, 145, 19, 0
1580871927, 950, 0, 60, 1015, 696, 64, 145, 19, 0
1580872942, 951, 0, 58, 1013, 679, 64, 144, 19, 0
1580873955, 950, 0, 55, 1011, 684, 64, 143, 19, 0
1580874968, 950, 0, 58, 1010, 695, 64, 144, 19, 0
1580875978, 950, 0, 61, 1014, 694, 64, 145, 19, 0
1580876993, 951, 0, 59, 1011, 678, 64, 146, 19, 0
1580878004, 951, 0, 61, 1013, 710, 64, 148, 19, 0
1580879017, 951, 0, 59, 1014, 712, 64, 149, 19, 0
1580880031, 950, 0, 59, 1014, 719, 64, 150, 19, 0
1580881045, 950, 0, 62, 1013, 738, 64, 155, 19, 0
1580882058, 950, 0, 58, 1011, 746, 64, 156, 19, 0
1580883070, 950, 0, 61, 1012, 738, 64, 154, 19, 0
1580884082, 950, 0, 72, 1025, 732, 64, 153, 19, 0
1580885107, 950, 0, 69, 1024, 743, 64, 154, 19, 0
1580886131, 950, 0, 64, 1019, 745, 64, 156, 19, 0
1580887151, 950, 0, 62, 1017, 744, 64, 156, 19, 0
1580888169, 953, 0, 61, 1018, 760, 64, 156, 19, 0
1580889187, 950, 0, 61, 1018, 734, 64, 155, 19, 0
1580890205, 950, 0, 55, 1010, 727, 64, 152, 19, 0
1580891216, 950, 0, 66, 1019, 750, 64, 152, 19, 0
1580892235, 950, 0, 59, 1012, 684, 64, 151, 19, 0
1580893247, 950, 0, 58, 1011, 719, 64, 150, 19, 0
1580894258, 951, 0, 58, 1012, 723, 64, 152, 19, 0
1580895270, 950, 0, 60, 1012, 731, 64, 153, 19, 0
1580896282, 951, 0, 60, 1015, 717, 64, 154, 19, 0
1580897297, 950, 0, 69, 1021, 741, 64, 155, 19, 0
1580898320, 950, 0, 62, 1015, 752, 64, 156, 19, 0
1580899335, 951, 0, 59, 1014, 736, 64, 156, 19, 0
1580900350, 952, 0, 56, 1014, 740, 64, 156, 19, 0
1580901364, 950, 0, 58, 1009, 718, 64, 155, 19, 0
1580902373, 950, 0, 61, 1016, 757, 64, 155, 19, 0
1580903389, 950, 0, 73, 1028, 764, 64, 156, 19, 0
1580904418, 950, 0, 59, 1015, 737, 64, 155, 19, 0
